B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	1.02716340723781	-1.88404428609125	0.326801372183203	-2.50933875166192	-2.00890224828629	0.599263297194503	0.19007006557358	0.336541154538304	0.479492770537578	0.179561658341114	0.797534093971693	-2.27203351191712	0.658933854449649	0.586586167105654	0.374620942254319	-3.03330522077066	-3.32042552410834	1.20720212026059	0.0138835258009665	0.294089903076398	-2.10576378943426	-0.509028315489962	0.719630985949964	0.229793780901263	-2.74906660959477	0.264380317976028	0.280744840095065	0.106540292678383	-2.82161049469119	-2.27203351191712	-4.01477155798309	0.215757466063876	-0.163341832477157	-2.64553788602419	-0.112763484592253	0.297274031774285	-0.700287666367259	0.504383096610164	0.0518615526602581	0.221141309017084	-3.18234787521131	-3.23268912248234	-0.0395999950613033	-3.9637085388368	-2.72886532269165	-2.58275575940537	0.296596470124054	-0.0887933525336196	-0.171232516861382	0.332116199999307	-2.56301470826883	0.251655503053924	-3.43869011964329	-2.90263739634918	-0.176079361866235	-0.462176320930833	-0.0640361015018491	-2.37674052819656	-3.52055065673928	-3.8956234672486	-4.27972790615843	-0.659229198802121	0.505767059442862	0.00933699670268092	-3.28167403906378	-3.50926984266714	-0.0143916460269366
B2	-1.88404428609125	-0.193181130866009	-3.02373210586349	-0.818475596436684	-0.318039093061055	-1.70991697485712	-3.02216219484022	-2.27364740008169	-1.82968750151405	-2.43062689627888	-1.8126544606483	-0.581170356691886	-1.65024641760198	-2.3246215262234	-2.23556761236567	-1.34244206554542	-1.6295623688831	-1.10197815179104	-3.40920001199457	-3.29380282840561	-0.414900634209025	-4.29528786263025	-2.54375319373156	-2.92444730805033	-1.05820345436953	-2.0447999540756	1.12654717842034	-3.28178141724961	-1.13074733946595	-0.581170356691886	-2.32390840275785	0.596998713887299	-2.77353038709715	-0.954674730798957	-4.15429489343828	-3.18795696734305	-3.00946793841888	-2.70784916380364	-2.25731871939137	-2.08803896303454	-1.49148471998607	-1.5418259672571	-3.2518322554751	-2.27284538361156	-1.03800216746641	-0.891892604180135	-2.71151906478951	0.522908461268666	-3.59431605465692	-3.20747212081964	-0.872151553043591	-2.35853305156607	-1.74782696441805	-1.21177424112394	-2.78626791648622	-3.24844889666672	-3.67420511340757	-0.685877372971325	-1.82968750151405	-2.20476031202336	-2.58886475093319	-3.26941775342211	-2.91731647835267	0.700239236281676	-1.59081088383854	-1.8184066874419	-2.62458020064693
CD4_1	0.326801372183203	-3.02373210586349	0.499825550452082	-3.64902657143417	-3.14859006805854	0.362627465784432	0.192610200205067	-0.104194032156065	0.515855677831045	0.257337384643419	-0.0411345870914853	-3.41172133168937	-0.00366166163833638	0.16704886157707	0.164332888681029	-0.172949613266041	0.442982071758453	0.368522583056708	0.0926876749209401	0.103533158189488	1.05560010063872	-0.221664415192139	0.117058926052912	-0.249846947559768	-3.88875442936701	0.124653413850023	0.102133428714477	-0.0994947458969956	0.515837416497689	-3.41172133168937	-0.251363962116298	0.0350170717688505	0.304404192949716	0.214817721480423	0.0928853475288745	0.271526891737042	-0.00116919326727613	-0.123425120470123	0.167405223454875	0.195356754988746	-0.0209839851383263	-4.37237694225458	-0.0370598604298169	-0.200300942970006	-3.86855314246389	0.277599848099244	-0.127095021455994	-0.00231275096481763	-0.0844227165063442	0.226794963221959	-3.70270252804107	0.342396167813539	-4.57837793941553	-4.04232521612142	-0.139696189118185	-0.170514316619856	-0.168296154420868	-3.51642834796881	-4.66023847651153	-1.03526785974398	-0.305469032909899	-0.497907651356784	-0.0402964256952472	0.0571658368531053	-0.120310148990799	0.196146581737441	0.425682988076114
CD4_2	-2.50933875166192	-0.818475596436684	-3.64902657143417	-1.44377006200736	-0.943333558631729	-2.3352114404278	0.352586766865967	-2.89894186565236	1.54506146019214	-3.05592136184955	-2.43794892621897	-1.20646482226256	-2.27554088317265	-2.94991599179408	-2.86086207793634	-1.96773653111609	-2.25485683445378	-1.72727261736171	-4.03449447756524	0.0809461333005786	-1.0401950997797	-0.443446597239799	-3.16904765930223	-3.549741773621	-1.68349791994021	-2.67009441964627	-3.4987907144272	-3.90707588282028	-1.75604180503662	-1.20646482226256	-2.94920286832853	0.418856695948427	-3.39882485266782	-1.57996919636963	0.261807274262978	0.186791994363134	-3.63476240398956	0.666899797902551	-2.88261318496204	-2.71333342860522	-2.11677918555674	-2.16712043282778	-3.87712672104578	-2.89813984918224	-1.66329663303708	-1.51718706975081	0.66322989691668	-0.403394286870372	-0.219567092950728	-3.83276658639031	-1.49744601861427	-2.98382751713674	-2.37312142998873	-1.83706870669461	-3.4115623820569	-3.87374336223739	-0.299456151701386	-1.311171838542	-2.45498196708472	-2.83005477759404	-3.21415921650386	-3.89471221899279	-3.54261094392335	0.0749447707110018	-2.21610534940922	-2.44370115301258	-3.2498746662176
CD4_3	-2.00890224828629	-0.318039093061055	-3.14859006805854	-0.943333558631729	-0.442897055256101	-1.83477493705217	-3.14702015703527	-2.39850536227673	-1.95454546370909	-2.55548485847392	-1.93751242284334	-0.706028318886931	-1.77510437979702	-2.44947948841845	-2.36042557456072	-1.46730002774047	-1.75442033107815	-1.22683611398608	-3.53405797418961	-3.41866079060066	-0.539758596404071	0.0569899061358295	-2.66861115592661	-3.04930527024537	-1.18306141656458	-2.16965791627064	-2.99835421105157	-3.40663937944465	-1.255605301661	-0.706028318886931	-2.4487663649529	-0.226794511169683	1.10165507798467	-1.079532692994	0.322917992920969	-3.3128149295381	-3.13432590061393	-2.83270712599868	-2.38217668158641	-2.21289692522959	-1.61634268218112	-1.66668392945215	-3.37669021767015	-2.39770334580661	-1.16286012966146	-1.01675056637518	-2.83637702698455	0.0970422165052567	-3.71917401685196	0.667713344262177	-0.997009515238637	-2.48339101376111	2.12735850066377	-1.33663220331898	-2.91112587868127	-3.37330685886176	-3.79906307560262	-0.810735335166371	-1.95454546370909	-2.32961827421841	-2.71372271312823	-3.39427571561716	-3.04217444054772	-3.42466215319023	-1.71566884603359	-1.94326464963695	-2.74943816284197
CD4_4	0.599263297194503	-1.70991697485712	0.362627465784432	-2.3352114404278	-1.83477493705217	1.55150566971645	0.0631728097229606	0.510668465772427	0.653620081771702	0.0526806870068737	-3.32939030463941	-2.097906200683	0.833061165683773	-3.84135737021452	0.247739970920078	-2.85917790953653	-3.14629821287421	-2.61871399578215	0.37509631114528	0.0925567432423151	-1.93163647820014	-0.209962629558551	0.240562672122553	0.0359525789196835	-2.57493929836064	-3.56153579806671	-4.39023209284764	0.523704101557235	-2.64748318345706	-2.097906200683	-3.84064424674897	-0.0389310807470915	0.0107854787569662	-2.47141057479007	0.148513856133919	-0.403641101488941	-4.52620378241	0.0764667020504758	-3.77405456338248	-3.60477480702566	-3.00822056397718	-3.05856181124821	-4.76856809946622	-3.78958122760267	-2.55473801145752	-2.40862844817125	0.072796801064605	-1.29483566529081	-0.508981050093735	-0.122137116256458	-2.3888873970347	0.124774531719684	-3.26456280840916	-2.72851008511505	-0.302960333200475	-0.163113892103537	0.207000788447803	-2.20261321696244	-3.34642334550516	-3.72149615601448	0.371535136036822	-0.309017866452101	0.344106166220904	0.0285642091905256	-3.10754672782966	0.664900895843848	0.557662645500759
CD45_1	0.19007006557358	-3.02216219484022	0.192610200205067	0.352586766865967	-3.14702015703527	0.0631728097229606	0.336377744031342	0.127823011988285	0.0403101246505397	0.12060509101509	0.0573431655162901	0.890900289179129	0.298931006988502	0.351548745290426	0.257672686458074	0.129628580325595	-0.458500005580451	0.0690842115116156	0.14383614681123	-0.0364237057261359	0.756161729093626	-0.187252768932194	0.158745936671317	-0.119958906458959	-3.88718451834374	0.427251149081152	0.22694212381794	-0.0615440707908811	0.0403150238367001	-3.4101514206661	-0.0389427737112933	0.0611504917867428	0.189880938901301	0.216387632503694	0.0893415558750847	0.12607708137879	0.06464152746661	0.116383251095271	0.0276469096551922	-0.615968317163528	-0.0194140741150549	-0.0697553213860864	-0.0201151014484936	0.0121202454349987	-3.86698323144062	0.580178041690879	0.149696837579159	-0.0389224711069058	-0.078904648432722	0.255803108141385	-3.7011326170178	0.414546961522532	0.201350460172428	-4.04075530509815	-0.152849484996884	-0.251354509739869	-0.15879370718338	0.485184990331326	-0.181532834527136	-1.03369794872071	-0.303899121886628	-0.496337740333513	0.0862120090472375	0.0110941461378702	-0.419748520535891	-0.17025202045499	0.114641633213141
CD45_2	0.336541154538304	-2.27364740008169	-0.104194032156065	-2.89894186565236	-2.39850536227673	0.510668465772427	0.127823011988285	0.850009027690592	-3.91015377072972	-0.0339574345334289	0.58401500109715	-2.66163662590756	-3.73071268681765	0.440016448737745	0.286036966972948	-3.4229083347611	-3.71002863809878	-3.18244442100671	0.0666374259289275	0.130882237866755	-2.4953669034247	-0.00284194485277133	-0.147083731986113	0.513601678653775	-3.13866972358521	-4.12526622329127	-0.17580402950751	0.169232507911804	-3.21121360868163	-2.66163662590756	-0.404331244696667	-0.0301575952430435	-0.155017966174024	-3.03514100001463	0.109631307544449	0.146551781772267	-1.0898907803577	0.165931901887446	-0.337741561330182	-0.168461804973356	0.428092438075117	-3.62229223647278	-0.855162793729658	-4.35331165282724	-3.11846843668209	-2.97235887339581	-4.79198533400518	-0.817212884520304	-0.720534988965833	0.0922746612328611	-2.95261782225927	0.163071527772553	-3.82829323363373	1.00881119950561	-0.565682475856675	-0.182784028111794	0.114560923991764	-2.766343642187	-3.91015377072972	-0.285183153962177	0.444615672871907	-0.0711281359305428	0.43358262508574	-0.0792382930799014	-3.67127715305422	0.101170470619285	0.198048945776436
CD8_1	0.479492770537578	-1.82968750151405	0.515855677831045	1.54506146019214	-1.95454546370909	0.653620081771702	0.0403101246505397	-3.91015377072972	1.43690154347695	-0.0670898396500511	-3.44916083129634	-2.21767672733992	-3.28675278825001	0.339923812973784	-3.87207398301371	-2.97894843619346	1.03498297031409	-2.73848452243907	0.184745093401576	-0.0852049548768224	-2.05140700485706	-0.105718782377224	-0.180216137102735	-0.560910251421502	-2.69470982501757	0.61974538512159	-0.0328668885434395	0.0817165550254583	-2.76725371011399	-2.21767672733992	0.0396286538709712	-0.158701607404016	-0.409993330468322	-2.59118110144699	0.168240605481196	0.21693329528084	-0.0439034605126279	0.132780196509448	-3.89382509003941	-3.72454533368258	-3.12799109063411	-3.17833233790514	0.190846239030085	-3.9093517542596	-2.67450853811445	-2.52839897482817	-0.347982008160684	-0.113617452093636	-0.116875732284183	0.00112575270914785	-2.50865792369163	-3.9950394222141	0.615710092210773	-2.84828061177198	-0.121722577289037	-0.407819536353634	-0.106588787067658	-2.32238374361936	-3.46619387216209	-3.8412666826714	-0.225327694304363	-0.303853275515854	0.0482479995535838	-0.0332151460041866	-3.22731725448658	-3.45491305808994	0.437892118843835
CD8_2	0.179561658341114	-2.43062689627888	0.257337384643419	-3.05592136184955	-2.55548485847392	0.0526806870068737	0.12060509101509	-0.0339574345334289	-0.0670898396500511	0.47805847607886	0.42703550489996	-2.81861612210475	0.11235124426202	0.283036952540556	0.225965312360262	-3.57988783095829	0.434043575549259	0.961627792641325	0.179429673493627	0.254081953149874	-2.65234639962189	-0.19031074981437	-0.304063228183303	-0.0827082083099648	-3.2956492197824	-4.28224571948846	0.00300467875138112	-0.0421044802969514	-3.36819310487882	-2.81861612210475	-0.260302458325493	0.0532713874229894	0.0682087126432148	-3.19212049621182	0.0691573341802825	0.142800165078358	-0.167728838678523	-0.100190685039678	0.107306363750061	-0.325441301170546	-3.72893048539894	-3.77927173266997	0.029237235031807	-0.510247721747565	-3.27544793287928	-3.129338369593	-0.170806341637684	-0.0378649515487329	-0.0464312731014323	0.295445592887351	-3.10959731845646	0.404025525944173	-3.98527272983092	0.851831703308422	-0.178609437722265	-0.163673299281628	-0.171287399700584	1.07672028889267	-0.0670898396500511	-0.442162650159367	-0.224239667791759	-0.330769364492401	-0.0408155507447675	0.125508819390934	0.171786778025455	-4.05585245285477	0.251920726960979
