B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	1.3201062317585	1.04687118909295	0.180350491631927	0.81640563527659	0.9328848775465	-0.0673577146884138	0.42502052510828	0.16548606826996	0.351561765444086	0.134771888441865	-0.827253618627539	-0.380389095367942	-0.129825332289768	0.248811954506375	0.364754262553382	-3.52134434103769	-3.73127879530884	-3.42297462885856	0.025868611574907	0.145933274212794	0.502830519236147	-0.299969150510019	0.43185008628664	0.070604403127658	0.111150878899586	-2.7984091287209	0.0461977242136017	-4.43811927435863	-4.41400617443028	0.900708186071148	-0.124093797598124	0.150925530424076	0.455348335904492	-3.91690693853502	-0.0864309139899588	0.105195085189268	-0.29541424889023	-0.0142652428232837	-0.247564374521369	-3.84242377232333	-4.05862489298821	0.694692954862338	-0.265091138958644	-0.45483407831728	-2.55552685822663	-3.895127977472	-0.43201105363789	-0.159348632374613	-0.477028402933925	0.0819306219126202	-3.97842288788589	0.0987298427936379	1.03403991429928	0.274217784655793	-0.180341277738113	-0.121095753616804	0.00906313295217684	0.900738423884916	-4.20474966848998	0.361161679514409	0.152643575493951	-0.155141959479898	0.195569545023894	0.236790517041005	-4.0687249575804	0.040891418487554	0.383967461641707
B2	1.04687118909295	-1.83944083229715	0.316339817460869	-1.46787896483608	-1.35139972256617	-3.55572158451217	0.622275940610075	0.24781885714544	-3.18795432523544	0.207120479364944	-3.11153821874021	-2.66467369548061	-3.61818920211353	-3.55394447424921	-2.61846560042122	-1.80558551387349	-2.01551996814464	-1.70721580169436	0.264520177711745	0.356584193165811	-1.78145408087652	-0.210266736360496	-2.69749533072599	0.360408431393271	-2.47414200378144	-1.0826503015567	-3.72940654340416	1.57869126265079	-2.69824734726609	-1.38357641404152	-3.31143038607297	0.24551090183467	1.110419235824	-2.20114811137082	-0.172158878070197	0.258682167154694	-3.83493033956976	-2.90057726421338	-3.376909791534	-2.12666494515913	-2.34286606582402	-1.58959164525033	-3.98069768444854	-3.21621098211421	-0.839768031062436	-2.1793691503078	-3.01730393631892	0.00416174218299249	-4.52469831811561	-0.17539543926118	-2.26266406072169	0.559257179390971	-1.94917994867532	-2.31107509802524	-3.24274093913861	-3.78554997772078	-0.395708872823461	-1.68455445879611	-2.48899084132579	-2.22413120316662	-3.38687251518558	-4.14695415997061	-0.212480168039215	0.350510524190721	-2.3529661304162	0.610562535158012	-3.64063719031395
CD4_1	0.180350491631927	0.316339817460869	0.29455026190954	-3.78923404603918	0.628296906075954	0.209283520938408	0.146008197300038	0.081756689832862	0.335789253995953	0.100566083746301	0.0722580355447298	0.411912969162776	0.13963732464291	0.129022248324654	0.101575951647606	-4.1269405950766	-0.336831622070885	-4.02857088289746	0.0964573422808377	0.14912937106523	-0.102765734802762	-0.114531671926177	-0.115754996290057	0.0375889528024376	0.107598330654488	-3.40400538275981	-0.0295719119237293	0.132378625945033	-0.4175315799149	0.596120214600602	-0.155662764910549	-0.0204687177935662	0.0954788611109416	0.0795676559803667	0.00831254719645954	0.12623399607955	-0.165058901922962	0.209433027237601	-0.0854799567638273	-0.146968316517012	-0.363169437181897	-3.91094672645343	-0.0467800192736923	-0.157353012049136	-3.16112311226554	0.101346617043385	-0.0599031308147814	-0.000538615468159491	-0.105690630861846	0.135663445677709	-0.106883410963672	0.187249165526969	0.507623458686266	0.0665485109104563	-0.166154274495223	0.0484312822435	0.0264024618174992	-0.00586611272235739	-0.509294212683665	0.357609131269311	0.111316997174628	-0.114200609860659	-0.00883373984221325	0.0114051880409224	-0.373269501774079	0.252952326082561	0.222699443153049
CD4_2	0.81640563527659	-1.46787896483608	-3.78923404603918	-1.096317097375	-0.979837855105094	-3.1841597170511	0.391810386793715	0.619380724606512	-2.81639245777437	0.578682346826017	-2.73997635127913	-2.29311182801954	-3.24662733465245	0.817660820488728	-2.24690373296015	-1.43402364641242	-1.64395810068357	-1.33565393423329	0.459998024056921	-3.27189736664998	-1.40989221341545	-0.880058074894494	-2.32593346326492	0.254877995170082	-2.10258013632037	-0.711088434095632	-3.35784467594308	-2.35079857973337	-2.32668547980502	-1.01201454658045	-2.93986851861189	0.286082859129992	0.879953682007637	-1.82958624390975	-0.30574101745828	0.329235752047403	-3.46336847210869	-2.52901539675231	-3.00534792407293	-1.75510307769806	-1.97130419836295	-1.21802977778926	-3.60913581698747	1.15539431262373	-0.468206163601364	-1.80780728284673	-2.64574206885785	0.199639588528168	0.147915259190689	0.196166428199892	-1.89110219326062	0.930819046852043	-1.57761808121425	-1.93951323056416	-2.87117907167754	0.58605531701715	-0.0241470053623884	-1.31299259133504	-2.11742897386471	-1.85256933570555	-3.01531064772451	-3.77539229250954	-3.840961727855	0.722072391651793	-1.98140426295513	-3.01791902465778	-3.26907532285288
CD4_3	0.9328848775465	-1.35139972256617	0.628296906075954	-0.979837855105094	-0.863358612835184	-3.06768047478119	-3.49175379821324	0.735859966876422	-2.69991321550446	0.695161589095927	-2.62349710900922	-2.17663258574963	-3.13014809238254	-3.06590336451822	-2.13042449069024	-1.31754440414251	-1.52747885841366	-1.21917469196338	0.576477266326831	-3.15541812438007	-1.29341297114554	-4.76362225990145	1.79058920628186	-3.62868618983687	-1.98610089405046	-0.594609191825722	-3.24136543367317	-2.23431933746346	-2.21020623753511	-0.895535304310536	-2.82338927634198	0.0345935881841993	-3.00361050299932	-1.71310700163984	-0.18926177518837	0.445714994317313	-3.34688922983878	1.58750727279446	-2.88886868180302	-1.63862383542815	-1.85482495609304	-1.10155053551935	-3.49265657471756	-2.72816987238322	-0.351726921331454	-1.69132804057682	-2.52926282658794	0.492202851913975	-4.03665720838463	0.914673091747235	-1.77462295099071	1.04729828912195	-1.46113883894434	-1.82303398829425	-2.75469982940763	-3.2975088679898	-3.90771119036934	-1.19651334906513	-2.0009497315948	-1.73609009343564	-2.8988314054546	-3.65891305023963	-3.72448248558509	-3.46250007592352	-1.86492502068522	-2.90143978238787	-3.15259608058297
CD4_4	-0.0673577146884138	-3.55572158451217	0.209283520938408	-3.1841597170511	-3.06768047478119	0.620092822750725	0.116838364628455	0.28737029524552	0.438189577433079	0.238985102404427	0.0752764446838091	0.698230417457596	0.31874352454457	-0.191040361311003	0.364232337502554	0.478177161188349	0.569250989485561	-3.42349655390938	0.0155868602019433	-0.037518623528118	0.50230859418532	-0.104621202234606	-0.112724373095787	0.319280598441257	-0.190379328719606	-2.79893105377173	0.059464039868861	-0.137589489564235	-0.41448467220425	-3.09985716625654	-0.550575407326866	-0.132316119250896	-0.0939856719245504	0.0826145636910165	0.0983294176318854	0.019501679301621	-0.773052603220093	0.286237399210632	-0.0517939104770898	-3.84294569737416	-4.05914681803904	-3.30587239746535	-0.742731101756801	-0.455356003368107	-2.55604878327746	0.104393524754035	-4.73358468853394	-0.425825998647273	-0.607509604765054	0.0478001330543249	0.0210986143401493	0.12168888660633	0.33458272638652	0.273695859604966	-0.657969981508405	-0.0104676351538536	0.0340952935731246	-3.40083521101114	0.697823822098229	0.360639754463581	0.388209827381353	-0.155663884530725	-0.0149899655202901	-0.122752652679649	-4.06924688263122	0.255968079916491	0.148233392959064
CD45_1	0.42502052510828	0.622275940610075	0.146008197300038	0.391810386793715	-3.49175379821324	0.116838364628455	0.294824531415834	0.120259000571602	0.176842934605526	0.138605351793151	0.00338262345644869	0.040076473049146	0.0865553826739048	0.125246043667035	0.387311461702309	-3.94593958952056	-0.15583061651485	-3.84756987734143	0.063671044838153	0.0422621411429394	-3.92180815652359	-0.142329993034443	0.116397928533699	0.0284761588158393	0.163662409136175	0.777039050073087	0.0796298755647386	0.0915328120652511	-0.361465691952037	-3.52393048968859	-0.247661764732083	0.0263200162542269	0.302493267859488	-0.0404504771726675	0.00397888426995136	0.111742828277985	-0.0357646634094398	0.237824546846791	-0.216231700050108	0.431959669332595	-0.182168431625863	0.270097706379463	-0.0138414511553091	0.0584099605697193	-2.98012210670951	-0.319679798678013	0.14337415516497	0.00472013693615086	-0.116049009054854	0.204035182797377	0.37514035219593	0.100101818621853	0.387601706638733	-0.150377463827082	-0.178972317797724	-0.0174184983235102	-0.013662011822331	0.175134892833677	-0.152209186011734	-4.36448527881369	0.0409763070016292	-0.309584173176989	0.0467962235435452	0.176276701855148	-0.192268496218044	0.00164522661116592	0.187492149575973
CD45_2	0.16548606826996	0.24781885714544	0.081756689832862	0.619380724606512	0.735859966876422	0.28737029524552	0.120259000571602	0.555100041697461	0.390625031712237	0.218573117332622	-0.422251108020185	0.422546909608222	0.332350515096196	0.113056527412041	-0.0541136072943722	0.281674175569099	-3.92830370597892	-3.61999953952863	-0.021595228163671	-0.0938434764817724	0.305805608566069	-0.0988673553956527	-0.309227358715038	0.339705005603909	-4.38692574161572	-2.99543403939098	0.0567805916856829	0.0638345051100871	-0.610987657823501	0.70368327540107	0.00623735213694311	-0.0717794359762475	-0.0242222992963954	-0.113888421928234	0.0836626464032786	-0.0630581210468858	-0.446681910273072	0.186643340875448	0.0325278334296834	0.26160302685182	0.221485927302831	-3.5023753830846	-0.571260059484855	-0.283890475771656	-2.75255176889671	-0.0921094608652155	-0.629035964307968	-0.477272171568059	-0.478440186382369	0.0820394044647587	0.301687932405159	0.214632912114113	-3.86196368650959	0.0771928739857152	-0.553453828418587	-0.251174133163888	-0.0162797449993607	-3.59733819663039	0.37638390940463	0.340220789960227	0.280128486475669	-0.162110256774941	0.0815188126295399	-0.130930359417515	-4.26574986825047	0.387932336389753	0.00288277899094443
CD8_1	0.351561765444086	-3.18795432523544	0.335789253995953	-2.81639245777437	-2.69991321550446	0.438189577433079	0.176842934605526	0.390625031712237	0.764564348957223	0.180784921947743	0.0170840192826223	0.685791501719895	0.413510356216356	0.0975463757356026	-3.96697909335952	0.845944420465078	-3.36403346108294	0.944314132644208	0.0516558697856044	-0.0888773114103081	-3.12996757381481	-0.167207411440082	-4.04600882366428	0.125824928094518	-3.82265549671974	-2.431163794495	-0.378941346203653	-0.0708305128558703	-0.0467174129275215	1.26795352029705	0.0390348111275381	-0.0669088746039929	-0.062006617103903	0.450381822967745	0.0226168175812901	0.127632220290951	-0.405285343943364	-0.249047329874815	-0.123352435917999	-3.47517843809743	0.30866386851455	-2.93810513818862	-0.050455290679588	-4.5647244750525	-2.18828152400073	-3.5278826432461	-0.365774001980353	-0.0811240025965691	-0.229758147535926	0.119501304041641	-3.61117755365999	0.289885124329041	0.702349985663248	0.34045483631333	0.107724258061896	0.0420306836834963	0.158824736821088	1.26798375811082	-3.83750433426408	-3.57264469610492	0.306010625148059	-0.194435485777944	-0.0169678030644925	-0.185107985572029	-3.70147962335449	0.216252949849614	0.156980454518352
CD8_2	0.134771888441865	0.207120479364944	0.100566083746301	0.578682346826017	0.695161589095927	0.238985102404427	0.138605351793151	0.218573117332622	0.180784921947743	0.399723282361783	0.0811108034156256	0.557938343247198	0.297560988886719	-0.0303038874984539	0.273156528140835	0.240975797788603	0.508133647201712	-3.66069791730913	0.154048825043259	0.0843007924289942	-3.73493619649129	-0.144070123885482	0.303269888566	0.0633298125216555	-0.126572409550988	-3.03613241717147	0.203602630171997	0.324161780113897	-4.65172946288086	-3.33705852965629	-0.118781363917135	-0.0183692490384242	-0.0471919824985775	0.322505503975531	0.00769559058529644	0.107952404614679	-0.107170313029714	0.100187955078608	-0.154297752806193	0.396988670187221	-0.296304754161925	-3.5430737608651	-0.0151011844411852	0.0607583783152061	-2.79325014667721	-0.132807838645711	-0.125681807756865	-0.0233354115592186	-0.135757555501636	0.131150644455538	0.482832513802339	0.0370970091534282	0.0973813629867736	0.212578517321116	0.00789964223457691	0.099817626813537	0.0979237707322703	0.663015135434342	0.159597891613739	0.299522412179732	0.293114834765231	-0.176156472506567	-0.0292848267712846	0.145195109163664	-4.30644824603097	0.05497873811287	0.0493343575892554
CD8_3	-0.827253618627539	-3.11153821874021	0.0722580355447298	-2.73997635127913	-2.62349710900922	0.0752764446838091	0.00338262345644869	-0.422251108020185	0.0170840192826223	0.0811108034156256	1.815021756641	0.0632723453531968	-0.288215740002288	0.0190623834845619	-3.89056298686428	-3.07768290031655	-3.2876173545877	-2.97931318813742	-0.308618785349859	-0.915513193277246	-3.05355146731958	0.00386927366659933	-3.96959271716905	-0.0464000311273632	0.253804037052361	-2.35474768799976	-0.399433081292919	-3.9944578336375	-3.97034473370915	-2.65567380048458	-0.58348434523916	-0.202680204656699	-0.462697289328129	0.827806212031347	0.0124866113267725	-0.0591920112898639	-0.261923481835991	-4.17267465065644	-0.171871447015933	0.601281095674673	0.385079975009788	-2.86168903169339	-0.211398437619662	0.210670321581535	-2.11186541750549	-3.45146653675086	-0.289357895485115	-0.22655611930141	-0.228592806724388	0.0965330322087798	1.50663518610719	-0.712840207052086	-3.22127733511838	0.416870942808568	-0.213786615736438	0.118446790178734	-0.0657886094805706	1.04339158203769	0.238955199508019	-3.49622858960968	-0.0568990530743405	0.0723115483682864	-0.122891257508769	-0.377534327920737	1.41633311641268	-0.661534851285046	-0.435598845795888
