B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
M1	30	0	802	3	3	40	865	236	67	220	82	1	63	159	98	27	45	5	1864	835	0	53180	114	2007	3	104	873	218	11	1	564	5768	196	20	17291	827	674	136	48	12	11	5	1045	293	2	9	127	2994	3739	1291	0	155	50	24	416	3645	4183	0	213	499	843	4848	511	1125	30	68	321
M10	9	0	31	0	0	2	34	3	1	3	2	0	0	4	13	0	3	1	69	69	1	114	52	11	0	0	30	179	0	0	1	455	22	0	176	61	4	70	7	3	4	13	25	1	0	0	8	79	19	35	1	2	0	0	6	18	220	0	1	1	6	3	55	81	0	1	10
M11	7	0	32	0	0	3	43	33	1	12	3	0	10	12	13	1	3	0	108	58	0	2007	11	228	1	0	69	64	0	0	10	302	8	0	676	42	8	9	5	2	1	3	19	5	0	0	1	48	59	70	2	8	2	1	9	114	271	2	22	29	84	185	58	59	1	6	11
M12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	1	0	0	1	5	0	0	0	23	0	0	9	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	2	4	0	1	0
M13	1	0	10	0	0	0	20	0	2	0	0	0	0	9	0	1	0	0	23	11	0	104	0	0	0	176	5	0	0	0	1	15	2	0	68	2	29	0	0	0	0	0	9	7	0	0	0	30	31	27	0	8	17	0	1	5	16	0	0	0	1	2	4	1	0	0	2
M2	7	1	64	0	0	0	85	6	3	13	1	0	5	15	13	3	2	1	108	92	0	873	30	69	1	5	212	152	0	0	6	636	23	0	573	77	36	28	5	10	4	3	57	1	0	0	15	241	105	101	0	9	0	2	26	80	246	0	1	6	11	49	66	118	0	2	16
M3	12	0	103	0	0	21	112	34	10	30	3	1	11	13	65	1	17	1	386	351	0	218	179	64	5	0	152	1698	0	3	4	2918	88	1	576	277	6	243	31	46	11	26	85	0	0	0	44	341	48	214	4	16	0	4	42	51	1501	1	0	0	19	8	289	601	6	7	47
M4	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	11	0	0	0	0	0	0	2	0	0	24	1	0	15	3	2	0	0	0	0	0	2	1	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
M5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0
M6	0	0	8	0	0	0	13	1	1	2	2	0	0	0	2	0	1	0	23	10	0	564	1	10	0	1	6	4	0	0	30	88	1	0	114	10	7	0	0	0	0	0	12	6	0	0	0	37	42	23	0	0	1	1	1	63	37	0	1	2	8	61	4	17	0	0	2
M7	102	5	928	14	1	38	982	142	38	247	55	2	21	227	195	17	30	12	1605	1635	0	5768	455	302	23	15	636	2918	24	7	88	24414	1120	2	7202	1593	499	688	285	231	48	40	1429	79	1	6	938	4448	1613	1378	6	239	17	7	363	509	4197	7	0	13	86	147	1024	3316	37	61	432
M8	2	0	81	0	1	2	62	5	1	12	3	0	0	17	10	2	0	0	52	75	0	196	22	8	0	2	23	88	1	0	1	1120	102	0	368	80	42	14	10	9	4	0	78	1	1	0	37	270	107	119	0	20	0	0	20	19	135	0	0	0	6	2	28	128	0	7	34
M9	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	1	0	0	0	2	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0
Mo1	54	0	1196	11	4	66	1182	221	91	289	54	8	56	211	109	10	39	13	3300	1518	4	17291	176	676	9	68	573	576	15	2	114	7202	368	11	24464	1615	1047	300	193	55	14	10	1238	180	2	6	235	3596	3329	1719	1	213	59	15	355	1509	2627	4	29	71	280	1383	564	1137	46	96	444
Mo2	15	0	195	1	0	2	139	26	11	37	9	1	5	27	25	6	4	3	295	239	2	827	61	42	2	2	77	277	3	0	10	1593	80	0	1615	590	53	156	35	42	4	2	166	11	2	2	69	590	228	211	1	25	3	3	49	89	507	1	0	1	15	49	81	214	5	7	57
Mo3	1	0	69	0	0	0	80	1	4	12	4	0	0	27	1	4	0	2	134	101	0	674	4	8	0	29	36	6	2	0	7	499	42	1	1047	53	556	5	7	6	0	0	248	20	0	2	61	665	983	125	1	30	7	1	78	41	78	0	0	2	2	19	12	67	9	1	26
