N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.440632591366809	-0.0782816237173486	-0.0594135934250898	-0.0571015694146639	-0.202147153592476	-0.152040849202087	-0.0987017582223472	-0.0956872080078406	-0.0682988058339097	-0.0460158658073961	-0.0550972928914494	-0.154680587462994	0.0408846872705834
B	-0.0782816237173486	1.0096651639417	0.479712941325055	0.331868755289756	-0.0245004965641486	0.380846653791013	0.148937192347243	0.206924010752099	-0.0447114791168565	0.31240422777053	-0.0861916981685817	-0.0876514514878398	-3.44743216115185
CD8	-0.0594135934250898	0.479712941325055	0.534094566845912	0.227888703010778	-0.0561358665117484	0.121956343615034	0.120734027475728	0.218553702650929	0.0727252887236145	0.192122810731514	0.203386130920513	-0.133158483158687	-0.375274450860441
CD4	-0.0571015694146639	0.331868755289756	0.227888703010778	0.492225320830572	-0.0842814390048842	0.211199993042563	0.106923632969674	0.159219551518415	0.103033133757216	0.22898612802799	0.407236661351279	-0.143952862551234	-0.602299159125864
M	-0.202147153592476	-0.0245004965641486	-0.0561358665117484	-0.0842814390048842	0.103176083498388	-0.00897374442304759	-0.16547136413593	-0.0428774698017595	-0.101273357608743	-0.0721341247795876	-0.0528579776318726	0.0183212962207124	-0.18552013586832
DC	-0.152040849202087	0.380846653791013	0.121956343615034	0.211199993042563	-0.00897374442304759	0.93130772464946	-0.0607562968889619	0.16543577073503	-0.0251739775124271	0.0860686556449393	0.222819892449446	0.0588291657801809	0.0487278735674979
Endo	-0.0987017582223472	0.148937192347243	0.120734027475728	0.106923632969674	-0.16547136413593	-0.0607562968889619	0.596481570446403	0.0785950566468184	0.0590943080744288	0.0807442303281136	0.0969216451838366	-0.115767934562009	0.0192108563641299
CD45+	-0.0956872080078406	0.206924010752099	0.218553702650929	0.159219551518415	-0.0428774698017595	0.16543577073503	0.0785950566468184	0.31587540058588	0.0883124680508076	0.254577784880157	0.102278910770657	-0.118525723232654	0.130051679854431
Mo	-0.0682988058339097	-0.0447114791168565	0.0727252887236145	0.103033133757216	-0.101273357608743	-0.0251739775124271	0.0590943080744288	0.0883124680508076	0.215368246418468	0.0636795493840029	0.0749257032846576	-0.145652912106328	0.0360212346332743
NK	-0.0460158658073961	0.31240422777053	0.192122810731514	0.22898612802799	-0.0721341247795876	0.0860686556449393	0.0807442303281136	0.254577784880157	0.0636795493840029	0.43202414682263	0.19305360965055	-0.0958167143996954	-0.043219646911279
Treg	-0.0550972928914494	-0.0861916981685817	0.203386130920513	0.407236661351279	-0.0528579776318726	0.222819892449446	0.0969216451838366	0.102278910770657	0.0749257032846576	0.19305360965055	0.650428419959099	-0.173419528809363	0.234865846408061
Tumor	-0.154680587462994	-0.0876514514878398	-0.133158483158687	-0.143952862551234	0.0183212962207124	0.0588291657801809	-0.115767934562009	-0.118525723232654	-0.145652912106328	-0.0958167143996954	-0.173419528809363	0.247029004515602	-0.288519231431638
S	0.0408846872705834	-3.44743216115185	-0.375274450860441	-0.602299159125864	-0.18552013586832	0.0487278735674979	0.0192108563641299	0.130051679854431	0.0360212346332743	-0.043219646911279	0.234865846408061	-0.288519231431638	2.47569333651608
