N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.964623448448342	-0.563513738817608	-0.145230301573552	-0.265049064262896	-0.191166168925122	-0.09491412857268	-0.0244516936122492	-0.25317143918109	-0.0268595500931164	0.00224754142227766	-0.180196024767477	-0.173433778982508	0.0874659713547086
B	-0.563513738817608	1.17171703893266	0.472446748486147	0.609348331781413	-0.70096732832239	-0.545299849810731	-0.66165785181741	0.4343073815534	0.0459631447311403	0.265554282147108	0.279642753752683	-0.827819737956754	0.50931123172078
CD8	-0.145230301573552	0.472446748486147	0.723243934092417	0.684532350871387	-0.174941403359875	0.00835179611544233	-0.0564463728187642	0.427864712579033	0.372993965837061	0.510904353301006	0.456095244099302	-0.381602364557099	0.326606879322773
CD4	-0.265049064262896	0.609348331781413	0.684532350871387	0.927450885333702	-0.290931943192344	-0.0329662173026453	-0.0913205495729362	0.479235574095078	0.382795124183506	0.416684004147618	0.497330462591795	-0.466614351786708	0.323970374413106
M	-0.191166168925122	-0.70096732832239	-0.174941403359875	-0.290931943192344	0.108000856991701	-0.0341484430962673	-0.139971974080565	-0.137699075860037	-0.106130171220348	-0.153543597488887	-0.102550328684033	-0.0348263650071411	-0.0777405944964071
DC	-0.09491412857268	-0.545299849810731	0.00835179611544233	-0.0329662173026453	-0.0341484430962673	0.941368388425631	0.244980275032401	0.113033465520304	0.0750270604825147	0.142490704287583	0.248474262808068	-0.00898104709925712	-4.49638163971528
Endo	-0.0244516936122492	-0.66165785181741	-0.0564463728187642	-0.0913205495729362	-0.139971974080565	0.244980275032401	0.794670183207261	-0.118003737355955	0.0973111152447324	0.0507518173655806	0.0159100449936208	-0.0658425914239436	0.0963859116961939
CD45+	-0.25317143918109	0.4343073815534	0.427864712579033	0.479235574095078	-0.137699075860037	0.113033465520304	-0.118003737355955	0.5829216384817	0.344268115733595	0.437335552494206	0.407821586940874	-0.260746023435164	0.189192450298964
Mo	-0.0268595500931164	0.0459631447311403	0.372993965837061	0.382795124183506	-0.106130171220348	0.0750270604825147	0.0973111152447324	0.344268115733595	0.544209624179557	0.415441845212737	0.343061051680062	-0.346859615769365	0.143581158852903
NK	0.00224754142227766	0.265554282147108	0.510904353301006	0.416684004147618	-0.153543597488887	0.142490704287583	0.0507518173655806	0.437335552494206	0.415441845212737	0.861842927271296	0.506587034911625	-0.343502420293969	0.329867727776328
Treg	-0.180196024767477	0.279642753752683	0.456095244099302	0.497330462591795	-0.102550328684033	0.248474262808068	0.0159100449936208	0.407821586940874	0.343061051680062	0.506587034911625	0.718640399160445	-0.28058700034033	0.215133083487825
Tumor	-0.173433778982508	-0.827819737956754	-0.381602364557099	-0.466614351786708	-0.0348263650071411	-0.00898104709925712	-0.0658425914239436	-0.260746023435164	-0.346859615769365	-0.343502420293969	-0.28058700034033	0.166629397536882	-0.236258785109866
S	0.0874659713547086	0.50931123172078	0.326606879322773	0.323970374413106	-0.0777405944964071	-4.49638163971528	0.0963859116961939	0.189192450298964	0.143581158852903	0.329867727776328	0.215133083487825	-0.236258785109866	1.57748627815353
