N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.659733470188786	0.0132074119702156	-0.076343729954819	0.0603920783087601	-0.209226141751808	0.115871972088498	-0.102037034022572	-0.00837498016495998	-0.038398617556102	0.137234189257264	0.0602152247946535	-0.113296970656318	0.101653128649649
B	0.0132074119702156	1.89985934708154	0.444111555284326	0.485362658546468	-0.178170300514063	0.595588622232184	0.0792817554258603	0.356739501422202	0.180095440947741	0.767170444123395	0.78983888760117	-0.110548304340695	-2.73870019147274
CD8	-0.076343729954819	0.444111555284326	0.600716722069241	0.458242062669161	-0.0612703197614102	0.247039671433563	0.114891454634783	0.422526099363653	0.166619325441876	0.457086647589166	0.411741162062658	-0.0960940502513962	0.310742436571842
CD4	0.0603920783087601	0.485362658546468	0.458242062669161	0.769728010833175	-0.164726645347336	0.331955451860449	0.263488159662813	0.486672725490348	0.296134237335392	0.560486537127351	0.601734641205505	-0.173158092714438	0.238051189736317
M	-0.209226141751808	-0.178170300514063	-0.0612703197614102	-0.164726645347336	0.0612705905424578	-0.0801652873464055	-0.21821762057745	-0.0843525547126801	-0.0854181542296115	-0.166468126769463	-0.0984826561292084	-0.00396000208050792	-0.133066404528656
DC	0.115871972088498	0.595588622232184	0.247039671433563	0.331955451860449	-0.0801652873464055	1.0694502381278	0.248487508367929	0.385671855675697	0.0573271100611786	0.466095027930781	0.62840801889809	-0.133967375634429	-3.13989042938835
Endo	-0.102037034022572	0.0792817554258603	0.114891454634783	0.263488159662813	-0.21821762057745	0.248487508367929	0.78439533515227	0.17349439773165	0.18248082414198	0.184544453376402	0.0814406928840573	-0.196239059699725	0.394969551778337
CD45+	-0.00837498016495998	0.356739501422202	0.422526099363653	0.486672725490348	-0.0843525547126801	0.385671855675697	0.17349439773165	0.488817787599154	0.234262102916644	0.524334181425289	0.404491167744624	-0.13634062693496	-3.89061539466481
Mo	-0.038398617556102	0.180095440947741	0.166619325441876	0.296134237335392	-0.0854181542296115	0.0573271100611786	0.18248082414198	0.234262102916644	0.430798233382311	0.314558524296897	0.218043268920625	-0.200818569404196	0.0529417619092327
NK	0.137234189257264	0.767170444123395	0.457086647589166	0.560486537127351	-0.166468126769463	0.466095027930781	0.184544453376402	0.524334181425289	0.314558524296897	0.78205224538202	0.538540247423414	-0.206378369126744	0.50344857824829
Treg	0.0602152247946535	0.78983888760117	0.411741162062658	0.601734641205505	-0.0984826561292084	0.62840801889809	0.0814406928840573	0.404491167744624	0.218043268920625	0.538540247423414	0.785820783882883	-0.156967284622441	0.854810528788806
Tumor	-0.113296970656318	-0.110548304340695	-0.0960940502513962	-0.173158092714438	-0.00396000208050792	-0.133967375634429	-0.196239059699725	-0.13634062693496	-0.200818569404196	-0.206378369126744	-0.156967284622441	0.111817796825743	-0.0890523577084774
S	0.101653128649649	-2.73870019147274	0.310742436571842	0.238051189736317	-0.133066404528656	-3.13989042938835	0.394969551778337	-3.89061539466481	0.0529417619092327	0.50344857824829	0.854810528788806	-0.0890523577084774	2.42894331530624
