N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.722329158363472	-0.0445660444075065	-0.0367573234774052	0.0693814204408439	-0.173346108871086	0.109428259276586	0.102120049505709	-0.0346277884677437	0.0737786790216497	0.151555036127266	-0.0676883841903974	-0.152132252783195	-0.170131283223116
B	-0.0445660444075065	1.86341307220099	0.475352752557444	0.609756389311896	-0.191741228136436	0.308184674737841	0.0108142441607231	0.439101162550984	0.177856198543456	0.540834374382164	0.559128432473859	-0.459711792155504	-0.242695048205094
CD8	-0.0367573234774052	0.475352752557444	0.581829079141714	0.452985048891834	-0.0579750720455966	0.130511375928178	-0.00639221005648928	0.325887027351189	0.255106430136559	0.422915047822465	0.390437557211557	-0.212709215102935	-0.201313267983579
CD4	0.0693814204408439	0.609756389311896	0.452985048891834	0.692768502195279	-0.103263054617605	0.26585654914246	0.118291798258226	0.401053376132801	0.279383126194072	0.475487285029035	0.475704203086982	-0.303964223290594	-0.619102056851744
M	-0.173346108871086	-0.191741228136436	-0.0579750720455966	-0.103263054617605	0.0506174377130378	-0.0757263091518168	-0.149084803153789	-0.0468520937853427	-0.0549687727858264	-0.11514475250738	-0.070720494465498	-0.0170596175925905	-3.50755694956594e-05
DC	0.109428259276586	0.308184674737841	0.130511375928178	0.26585654914246	-0.0757263091518168	0.92248846884952	0.0526012937609688	0.131833730670834	0.102075367018263	0.295377446935541	0.3083354093756	-0.060195652224835	-0.334201091151963
Endo	0.102120049505709	0.0108142441607231	-0.00639221005648928	0.118291798258226	-0.149084803153789	0.0526012937609688	0.689038133376586	0.0140252553137621	0.0801188189477452	0.0238277353705265	0.0425483254059826	-0.128170818058545	-0.336610853382333
CD45+	-0.0346277884677437	0.439101162550984	0.325887027351189	0.401053376132801	-0.0468520937853427	0.131833730670834	0.0140252553137621	0.442787811473054	0.215488216790785	0.415637438244397	0.342343278206459	-0.175365735109508	-0.35917482983272
Mo	0.0737786790216497	0.177856198543456	0.255106430136559	0.279383126194072	-0.0549687727858264	0.102075367018263	0.0801188189477452	0.215488216790785	0.399072797438746	0.317926247318372	0.296692470034178	-0.275142339924668	-0.475682434009513
NK	0.151555036127266	0.540834374382164	0.422915047822465	0.475487285029035	-0.11514475250738	0.295377446935541	0.0238277353705265	0.415637438244397	0.317926247318372	0.730117111803592	0.481902420060414	-0.338412202703569	-0.235447792785638
Treg	-0.0676883841903974	0.559128432473859	0.390437557211557	0.475704203086982	-0.070720494465498	0.3083354093756	0.0425483254059826	0.342343278206459	0.296692470034178	0.481902420060414	0.688782342553667	-0.279348586031714	-0.268710634605925
Tumor	-0.152132252783195	-0.459711792155504	-0.212709215102935	-0.303964223290594	-0.0170596175925905	-0.060195652224835	-0.128170818058545	-0.175365735109508	-0.275142339924668	-0.338412202703569	-0.279348586031714	0.148073721495024	0.0381064011321296
S	-0.170131283223116	-0.242695048205094	-0.201313267983579	-0.619102056851744	-3.50755694956594e-05	-0.334201091151963	-0.336610853382333	-0.35917482983272	-0.475682434009513	-0.235447792785638	-0.268710634605925	0.0381064011321296	1.42160750148579
