N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.575721686874998	-0.395409184280294	-0.177761915392846	-0.164445967555897	-0.177027070158571	-0.062395675760862	-0.157426604159788	-0.149838673340398	-0.164288533122373	-0.0154214113540351	-0.112493576411072	-0.0590470817549747	0.0787923994884845
B	-0.395409184280294	1.29567691359179	0.330058496095877	0.58878950857336	-0.170474546121344	0.313439967011142	0.240467664476286	0.308839978654748	0.148096131337745	0.452274410026375	0.378114110281442	-0.122374964746819	0.571845492948032
CD8	-0.177761915392846	0.330058496095877	0.49677277506515	0.468264768789542	-0.133269372107398	0.192900977440606	0.13298701473124	0.39138920589175	0.166345675428775	0.383974487640235	0.403712307169464	-0.160074483619588	0.275222482261598
CD4	-0.164445967555897	0.58878950857336	0.468264768789542	0.684246210968175	-0.198779623974475	0.326694158083362	0.141557613796038	0.275112981832696	0.214431389076109	0.426879096004828	0.537506780338011	-0.207169634312242	0.107989286315817
M	-0.177027070158571	-0.170474546121344	-0.133269372107398	-0.198779623974475	0.145185354697029	-0.0753970377275123	-0.301537689597071	-0.16176060414826	-0.17172718281481	-0.21361353472266	-0.18260819265588	-0.0438208411587665	-0.183164134819462
DC	-0.062395675760862	0.313439967011142	0.192900977440606	0.326694158083362	-0.0753970377275123	0.954415603663872	0.289866468657092	0.233829921321281	0.0480803994978208	0.0932687851520732	-0.156970388667402	-0.0536835641116354	-4.04244775666836
Endo	-0.157426604159788	0.240467664476286	0.13298701473124	0.141557613796038	-0.301537689597071	0.289866468657092	0.806523446981133	0.0385184304025534	0.158167722402346	0.15167977951778	0.0815521959032777	-0.284524020504536	0.104326929045818
CD45+	-0.149838673340398	0.308839978654748	0.39138920589175	0.275112981832696	-0.16176060414826	0.233829921321281	0.0385184304025534	0.404593948693073	0.196277734196569	0.291566627413407	0.326544007018241	-0.0849540224704902	0.418813158506942
Mo	-0.164288533122373	0.148096131337745	0.166345675428775	0.214431389076109	-0.17172718281481	0.0480803994978208	0.158167722402346	0.196277734196569	0.27301338495348	0.191603832745768	0.217299294695721	-0.174184485228814	0.0263133709575951
NK	-0.0154214113540351	0.452274410026375	0.383974487640235	0.426879096004828	-0.21361353472266	0.0932687851520732	0.15167977951778	0.291566627413407	0.191603832745768	0.518983445155243	0.407832183434252	-0.195324181181501	0.451795944973886
Treg	-0.112493576411072	0.378114110281442	0.403712307169464	0.537506780338011	-0.18260819265588	-0.156970388667402	0.0815521959032777	0.326544007018241	0.217299294695721	0.407832183434252	0.941119628535362	-0.256283255724924	0.101435137269487
Tumor	-0.0590470817549747	-0.122374964746819	-0.160074483619588	-0.207169634312242	-0.0438208411587665	-0.0536835641116354	-0.284524020504536	-0.0849540224704902	-0.174184485228814	-0.195324181181501	-0.256283255724924	0.23758238755052	-0.0934340618995792
S	0.0787923994884845	0.571845492948032	0.275222482261598	0.107989286315817	-0.183164134819462	-4.04244775666836	0.104326929045818	0.418813158506942	0.0263133709575951	0.451795944973886	0.101435137269487	-0.0934340618995792	1.64193482521544
