N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.648366738840261	-0.60756040839634	-0.278982127485298	-0.269489297815401	-0.177116351850764	-0.218218341033475	-0.17956142469917	-0.232593339169923	-0.0965554336414475	0.0595933711766217	-0.122975126730804	-0.266520473878251	-0.207652031371209
B	-0.60756040839634	1.49966001157906	0.745249944169052	0.860958476477116	-0.35556971861548	0.22835108710438	0.0301209789241552	0.61248805950739	-0.0611013407795404	-0.197772192259379	0.488203900261801	-0.197899222391005	-0.380860480258452
CD8	-0.278982127485298	0.745249944169052	0.703803363357441	0.686439513925803	-0.138395815952788	0.175986582283858	0.0753851031508086	0.416621252509082	0.0785643824883728	0.188577170972536	0.488868765665671	-0.177794377395391	-0.696464774809292
CD4	-0.269489297815401	0.860958476477116	0.686439513925803	0.885518030718309	-0.22628323534852	0.0675804310803264	0.188960185248878	0.394559785898639	0.0783111338834965	0.259908176809847	0.597562336483457	-0.247456047350698	-1.05350531057617
M	-0.177116351850764	-0.35556971861548	-0.138395815952788	-0.22628323534852	0.165038420828641	0.00364293911232924	-0.230720462246125	-0.131819595911211	-0.138875152777999	-0.141393557943552	-0.122636930545825	-0.076634300688115	0.0687430695239627
DC	-0.218218341033475	0.22835108710438	0.175986582283858	0.0675804310803264	0.00364293911232924	1.05702341728563	0.195140005508811	0.308000585020174	-0.0438890832166217	0.109383179581608	0.305452192610234	-0.0675089867009594	-0.593549252126214
Endo	-0.17956142469917	0.0301209789241552	0.0753851031508086	0.188960185248878	-0.230720462246125	0.195140005508811	0.837230372070129	0.108610096913433	0.0740926597580549	0.180190024277625	0.128410730184711	-0.174843127849298	-0.615724454824485
CD45+	-0.232593339169923	0.61248805950739	0.416621252509082	0.394559785898639	-0.131819595911211	0.308000585020174	0.108610096913433	0.524482083208724	0.183122133037547	0.211047561311889	0.208311832100436	-0.202721897426961	-0.804662027251167
Mo	-0.0965554336414475	-0.0611013407795404	0.0785643824883728	0.0783111338834965	-0.138875152777999	-0.0438890832166217	0.0740926597580549	0.183122133037547	0.320687489847051	0.167683825280024	0.110344224438444	-0.264226912407198	-0.600015335376999
NK	0.0595933711766217	-0.197772192259379	0.188577170972536	0.259908176809847	-0.141393557943552	0.109383179581608	0.180190024277625	0.211047561311889	0.167683825280024	0.58588247978248	0.359433395057041	-0.234195368440963	-0.448683254170401
Treg	-0.122975126730804	0.488203900261801	0.488868765665671	0.597562336483457	-0.122636930545825	0.305452192610234	0.128410730184711	0.208311832100436	0.110344224438444	0.359433395057041	0.840779609124587	-0.215558823552738	-0.0996437349293024
Tumor	-0.266520473878251	-0.197899222391005	-0.177794377395391	-0.247456047350698	-0.076634300688115	-0.0675089867009594	-0.174843127849298	-0.202721897426961	-0.264226912407198	-0.234195368440963	-0.215558823552738	0.267437700687267	0.129815155645675
S	-0.207652031371209	-0.380860480258452	-0.696464774809292	-1.05350531057617	0.0687430695239627	-0.593549252126214	-0.615724454824485	-0.804662027251167	-0.600015335376999	-0.448683254170401	-0.0996437349293024	0.129815155645675	1.56950689626327
