N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.677238719444704	-0.0806137948143849	-0.250256895596802	-0.146321186307933	-0.237320637489623	-0.216910180899423	-0.196437742592496	-0.237859446668923	-0.335277732380694	-0.16515062303346	-0.215505232618631	-0.14850060057591	-0.0398383725475001
B	-0.0806137948143849	1.21408134120492	0.325266030850667	0.275427665102786	-0.0667598759636308	0.955068815363005	0.390934933768483	0.196038667037129	0.135908518782098	0.110669309912283	0.414799127648668	-0.253041137866118	-3.00919794801518
CD8	-0.250256895596802	0.325266030850667	0.661499621310274	0.479363101742544	-0.108310274700092	0.355046235156656	0.255238209364701	0.404130414089214	0.152733950648373	0.355223075288324	0.424521027263685	-0.207901433460291	0.448795459492136
CD4	-0.146321186307933	0.275427665102786	0.479363101742544	0.518732466195185	-0.0918701520717639	0.289414291572289	0.238676787042	0.332017298999179	0.165273578277187	0.338262914317308	0.506104849019538	-0.258640810074905	0.383157311996311
M	-0.237320637489623	-0.0667598759636308	-0.108310274700092	-0.0918701520717639	0.160018283124492	0.014174473009308	-0.187721307443713	-0.073300801691199	-0.126733427694023	-0.099353303453365	-0.0763438863322863	-0.0812598208300925	0.0579320346735681
DC	-0.216910180899423	0.955068815363005	0.355046235156656	0.289414291572289	0.014174473009308	1.39502113665416	0.172350126376526	0.334963706979364	-0.182981069197534	0.209477330092203	0.495731251222379	-0.0443887371325293	-3.17130154657303
Endo	-0.196437742592496	0.390934933768483	0.255238209364701	0.238676787042	-0.187721307443713	0.172350126376526	0.858890609624144	0.215905284664017	0.124961861007816	0.222442176147539	0.179580794442998	-0.272683453801256	-0.144073218656565
CD45+	-0.237859446668923	0.196038667037129	0.404130414089214	0.332017298999179	-0.073300801691199	0.334963706979364	0.215905284664017	0.463481978654031	0.183543113711713	0.298538341986755	0.326969580152731	-0.243320860545618	0.0696927335974038
Mo	-0.335277732380694	0.135908518782098	0.152733950648373	0.165273578277187	-0.126733427694023	-0.182981069197534	0.124961861007816	0.183543113711713	0.3512877300084	0.178626059275387	0.177946546167215	-0.352204519829911	-0.0495757170937767
NK	-0.16515062303346	0.110669309912283	0.355223075288324	0.338262914317308	-0.099353303453365	0.209477330092203	0.222442176147539	0.298538341986755	0.178626059275387	0.571664575690328	0.397952897259069	-0.279092346735746	0.134078618532227
Treg	-0.215505232618631	0.414799127648668	0.424521027263685	0.506104849019538	-0.0763438863322863	0.495731251222379	0.179580794442998	0.326969580152731	0.177946546167215	0.397952897259069	0.773118725141959	-0.328463453351021	-3.71157123428737
Tumor	-0.14850060057591	-0.253041137866118	-0.207901433460291	-0.258640810074905	-0.0812598208300925	-0.0443887371325293	-0.272683453801256	-0.243320860545618	-0.352204519829911	-0.279092346735746	-0.328463453351021	0.282539854608888	-0.124674411648119
S	-0.0398383725475001	-3.00919794801518	0.448795459492136	0.383157311996311	0.0579320346735681	-3.17130154657303	-0.144073218656565	0.0696927335974038	-0.0495757170937767	0.134078618532227	-3.71157123428737	-0.124674411648119	2.06857881553305
