N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.513610102049596	-0.242192032770165	-0.311401487402051	-0.214397289619509	-0.371128086894251	-0.292824023071543	-0.234210580266856	-0.0872010675877478	-0.270086901868565	-0.233801612453651	-0.494590963536467	-0.273039493735839	-0.490637910534693
B	-0.242192032770165	1.35988912286662	0.482000035156022	0.893125930929924	-0.112645317276583	0.209736351372705	0.465780017826604	0.506923206053134	0.250105522158731	0.536744872759725	0.0788526726707549	-0.196951108328208	0.976755895728987
CD8	-0.311401487402051	0.482000035156022	0.52011124454645	0.499051018634382	0.00343608226572378	0.0793562080026122	0.278553626682737	0.368553247396224	0.271959999631944	0.419917942424618	0.515773406961921	-0.153892008866582	0.209564790299246
CD4	-0.214397289619509	0.893125930929924	0.499051018634382	0.810380263400069	-0.0841176050557777	0.311597050291935	0.40680215808337	0.489222296772968	0.326889526202085	0.60198913573162	0.674872586795057	-0.291331061648131	0.601498235205799
M	-0.371128086894251	-0.112645317276583	0.00343608226572378	-0.0841176050557777	0.135988728421614	-0.0456735384018084	-0.122830488551219	-0.0374208985582014	0.00391386094860743	-0.0571036668784002	0.00331250059221603	-0.0351907962226751	-0.000821498839308656
DC	-0.292824023071543	0.209736351372705	0.0793562080026122	0.311597050291935	-0.0456735384018084	1.15453277741052	0.289572197254757	0.229358288846822	0.104756035631662	0.210488090370463	0.433831422292956	0.0475507723619701	0.775444449220863
Endo	-0.234210580266856	0.465780017826604	0.278553626682737	0.40680215808337	-0.122830488551219	0.289572197254757	0.794110540591428	0.297411280588324	0.264068318734767	0.334657055693747	0.220451429124625	-0.163635180077012	-0.0476945088281018
CD45+	-0.0872010675877478	0.506923206053134	0.368553247396224	0.489222296772968	-0.0374208985582014	0.229358288846822	0.297411280588324	0.470187802699232	0.259343050100942	0.456264251995801	0.340388080476836	-0.212143617892781	0.0799334258376211
Mo	-0.270086901868565	0.250105522158731	0.271959999631944	0.326889526202085	0.00391386094860743	0.104756035631662	0.264068318734767	0.259343050100942	0.415810762007064	0.370013029099616	0.324923612310943	-0.261228838353592	0.252342166015524
NK	-0.233801612453651	0.536744872759725	0.419917942424618	0.60198913573162	-0.0571036668784002	0.210488090370463	0.334657055693747	0.456264251995801	0.370013029099616	0.731989940782678	0.564327612279745	-0.313411493161805	0.291131684526483
Treg	-0.494590963536467	0.0788526726707549	0.515773406961921	0.674872586795057	0.00331250059221603	0.433831422292956	0.220451429124625	0.340388080476836	0.324923612310943	0.564327612279745	0.965708218664621	-0.211679417956195	1.07591343640277
Tumor	-0.273039493735839	-0.196951108328208	-0.153892008866582	-0.291331061648131	-0.0351907962226751	0.0475507723619701	-0.163635180077012	-0.212143617892781	-0.261228838353592	-0.313411493161805	-0.211679417956195	0.214243030432743	-0.054351912406877
S	-0.490637910534693	0.976755895728987	0.209564790299246	0.601498235205799	-0.000821498839308656	0.775444449220863	-0.0476945088281018	0.0799334258376211	0.252342166015524	0.291131684526483	1.07591343640277	-0.054351912406877	1.54246399357714
