SampleName	100001101-Pre	100001106-Pre	100001107-Pre	100001109-Pre	100001115-Pre	100005101-Pre	100001104-Pre	100001105-Pre	100001110-Pre	100001113-Pre	100001114-Pre	100001116-Pre	100004103-Pre	100005103-Pre	100004102-Pre	100006101-Pre	100001103-Pre	100001111-Pre	100001101-Post	100001106-Post	100001107-Post	100001109-Post	100001115-Post	100005101-Post	100001104-Post	100001105-Post	100001110-Post	100001113-Post	100001114-Post	100001116-Post	100004103-Post	100005103-Post	100004102-Post	100006101-Post	100001103-Post	100001111-Post	100001112-Post	100001102-Post
Patient	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001112	100001102
Timepoint	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post
Response	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PR	PD
CXCL10	2.48	87.06	15.38	41.61	46.48	43.97	28.35	16.88	117.6	302.05	20.21	74.05	28.73	22.95	160.77	20.95	117.09	395.76	4.2	24.23	70.12	48.34	21	30.05	77.69	40.08	319.76	14.61	80.8	74.13	61.35	34.26	560.43	36.19	197.15	110.58	60.31	60.1
CXCL11	1.06	23.74	15.38	28.69	42.26	17.77	10.97	11.25	42.94	50.18	10.1	17.28	11.34	7.25	112.23	52.38	80.79	184.97	3.5	41.54	11.54	14.8	22.68	20.03	78.92	9.77	114.05	14.61	58.51	32.43	127.42	22.27	285.13	30.7	159.34	69.51	33.77	47.58
CXCL12	28.65	1567.01	1440.77	1308.42	204.95	56.13	1785.77	45	104.83	812.6	2704.68	1378.14	66.53	3667.86	1307.39	728.47	626.43	175.96	27.97	1429.78	670.13	1390.12	1588.72	36.06	2049.43	362.64	432.75	3428.62	40.99	2159.12	665.41	1836.24	706.27	1593.34	437.52	535.51	841.96	683.62
CXCL13	1.06	47.49	30.09	2.87	33.81	217.96	6.4	61.88	126.88	123.74	23.58	32.91	5.29	25.36	62.18	5.64	72.6	105.1	1.4	10.39	31.07	8.39	8.4	252.43	27.13	16.62	264.34	6.26	47.76	41.7	23.6	39.4	331.01	24.12	83.72	85.3	69.96	20.03
CXCL14	539.68	1416.64	3035.98	3328.44	1043.76	369.5	3148.19	90	4.26	3536.37	4105.86	1821.62	22.68	3801.92	7328.64	1573.78	1761.03	490.65	20.28	1685.96	497.05	3076.72	3911.72	246.42	4303.55	194.51	79.94	9912.32	13.93	356.76	500.23	2826.3	4517.85	2399.33	3224.69	5273	4108.47	2045.85
CXCL16	11.67	395.71	55.49	61.69	54.93	44.9	77.72	489.39	112.57	92.08	67.36	71.58	73.33	141.3	100.1	72.52	78.45	54.05	4.2	682	64.79	89.29	77.29	60.1	87.55	97.75	263.27	93.91	46.17	528.2	80.23	138.75	162.23	67.99	151.24	85.3	62.72	340.56
CXCL2	2.83	340.31	50.81	22.95	29.58	6.55	27.43	28.13	11.22	9.74	64	66.64	7.56	22.95	47.02	5.64	55.03	29.43	2.8	315.04	19.53	26.64	15.96	10.02	32.06	37.14	57.56	29.22	13.53	101.93	47.19	42.82	62.27	30.7	48.61	102.68	45.84	90.15
CXCL3	2.12	150.37	11.37	15.78	16.9	5.61	8.23	39.38	11.22	6.33	20.21	26.33	6.05	14.49	9.1	5.64	24.59	71.47	5.59	162.71	12.43	9.87	7.56	4.01	11.1	10.75	29.84	8.35	11.54	50.97	28.32	30.83	32.77	4.39	27.01	60.03	24.12	42.57
CXCL5	1	23.74	2.67	8.61	8.45	3.74	2.74	11.25	5.03	1	10.1	5.76	4.54	3.62	12.13	1	15.22	3.6	1.4	6.92	1	4.44	3.36	2	1.23	4.89	2.13	8.35	11.54	18.53	4.72	6.85	8.19	3.29	2.7	53.71	4.82	2.5
CXCL6	1.06	15.83	5.35	7.17	4.23	1	3.66	16.88	1.93	2.44	16.84	7.4	3.78	1.21	9.1	1	5.85	2.4	1	10.39	9.76	1.48	2.52	2	3.7	1	3.2	10.43	3.98	4.63	4.72	3.43	3.28	6.58	2.7	7.9	4.82	2.5
CXCL8	3.54	118.71	239.35	24.39	50.71	42.1	14.63	90	25.14	46.28	33.68	148.1	15.88	8.45	33.37	61.24	38.64	930.85	2.12	114.24	479.3	34.53	9.24	102.17	7.4	24.44	42.64	29.22	81.59	282.63	23.6	20.55	81.93	13.16	48.61	4765.92	24.12	85.14
CXCL9	2.12	395.71	34.1	147.77	185.93	92.61	92.35	45	234.42	429.68	10.1	167.02	64.26	47.1	456.52	24.17	496.46	890.61	4.9	207.72	82.55	159.83	58.81	140.24	379.8	53.76	927.31	31.3	248.75	101.93	231.24	54.81	1286.37	82.24	645.48	284.34	195.41	160.26
CXCR3	1.06	63.31	20.73	35.87	8.45	12.16	10.97	95.63	12.77	27.77	26.95	15.63	5.29	27.78	22.75	10.48	22.25	24.02	2.8	65.78	15.98	18.75	19.32	16.03	65.35	14.66	47.96	14.61	7.56	101.93	23.6	37.68	39.33	24.12	27.01	34.75	24.12	82.64
CXCR4	9.2	300.74	120.34	68.86	54.93	64.55	41.15	16.88	44.49	201.69	60.63	38.67	13.61	112.32	60.67	55.6	297.41	201.78	22.38	474.28	86.98	47.85	49.57	48.08	81.39	107.52	152.42	45.91	83.18	375.3	66.07	82.22	117.99	95.4	67.52	145.33	123.04	303
CXCR6	2.48	71.23	11.37	22.95	31.69	14.97	13.72	73.13	19.34	18.03	26.95	23.86	12.85	20.53	15.17	11.28	28.1	20.42	8.39	48.47	19.53	21.21	16.8	20.03	55.49	14.66	68.22	14.61	18.31	92.67	28.32	22.27	72.1	28.51	27.01	45.81	65.14	90.15
CXorf36	5.66	47.49	24.07	33	25.35	7.48	21.03	11.25	2.32	18.51	53.89	27.97	9.07	25.36	34.88	13.7	24.59	4.8	3.5	41.54	12.43	19.24	15.12	10.02	22.2	10.75	10.66	41.74	8.36	41.7	28.32	25.69	27.86	47.15	18.91	23.7	38.6	30.05
CYBB	13.79	981.36	414.51	117.64	118.32	92.61	88.69	787.52	270.4	754.63	468.18	194.17	27.22	212.56	285.14	114.43	266.97	234.21	21.68	1291.3	428.71	150.46	103.34	104.18	379.8	279.55	1404.83	390.23	76.02	745.96	335.06	244.95	807.87	233.57	226.86	371.23	176.11	866.42
DAB2	300.96	791.42	1407.34	338.58	367.64	228.25	291.69	618.76	236.75	480.35	1492.12	882.01	160.27	882.85	869.06	506.86	642.82	506.86	195.1	1021.27	428.71	395.13	426.79	202.34	651.08	1280.47	430.62	1540.06	52.54	1385.36	420.01	823.91	473.58	582.29	564.46	426.52	402.89	951.56
DDB2	30.77	55.4	40.78	55.95	61.27	20.58	38.4	33.75	12.77	38	40.42	25.51	29.48	64.01	42.47	47.54	43.32	10.81	16.08	62.31	55.03	55.74	52.93	16.03	64.12	9.77	25.58	41.74	31.04	46.33	23.6	41.11	32.77	47.15	32.41	45.81	69.96	90.15
DEPTOR	8.49	39.57	42.12	37.3	25.35	23.39	28.35	5.63	4.64	618.22	74.1	41.96	14.36	73.67	25.78	17.73	45.67	13.81	9.09	45.01	26.63	23.68	34.45	36.06	27.13	15.64	9.59	66.78	35.02	32.43	368.1	41.11	19.66	40.57	27.01	23.7	38.6	15.02
DKK1	3.18	23.74	14.04	12.91	23.24	8.42	13.72	11.25	13.15	6.82	20.21	23.04	9.07	10.87	31.85	1.61	65.57	113.5	4.2	20.77	10.65	7.89	12.6	14.02	8.63	5.86	10.66	25.04	17.51	60.23	23.6	10.28	16.39	15.35	24.31	25.28	33.77	22.54
DLL1	34.66	7.91	18.05	43.04	35.92	9.35	67.66	16.88	2.71	12.18	23.58	26.33	11.34	25.36	66.73	33.04	16.39	17.42	26.57	41.54	12.43	23.19	54.61	12.02	54.26	58.65	9.59	39.65	1.59	37.07	4.72	53.1	54.08	59.22	83.72	63.19	57.9	47.58
DLL4	4.95	55.4	91.59	22.95	27.47	6.55	27.43	78.75	9.67	22.41	114.52	28.8	47.63	35.02	42.47	32.23	19.91	26.42	6.99	27.7	24.85	20.72	22.68	28.05	38.23	8.8	19.19	70.95	9.95	23.17	80.23	37.68	37.69	93.21	32.41	20.54	41.01	45.07
DNMT1	137.93	166.2	171.82	177.9	156.35	376.05	94.18	84.38	163.25	165.64	94.31	87.21	145.91	106.28	142.57	215.16	101.87	175.36	206.29	159.25	189.94	152.43	112.58	460.78	178.8	131.96	155.62	133.56	183.48	83.4	94.38	104.49	127.82	134.88	170.15	241.69	96.5	180.3
DPP4	3.89	71.23	54.15	43.04	19.02	4.68	18.29	16.88	1.93	26.31	74.1	21.39	1	102.66	94.03	16.92	12.88	6.61	3.5	72.7	13.31	33.05	45.37	2	36.99	17.59	7.46	123.12	3.58	60.23	14.16	70.23	18.03	82.24	45.91	63.19	14.47	62.6
DTX1	3.89	102.88	29.42	14.35	21.13	14.03	18.29	78.75	9.67	24.36	84.21	21.39	15.88	25.36	19.72	12.89	16.39	11.41	4.2	45.01	17.75	11.35	26.04	28.05	33.29	12.71	23.45	39.65	8.36	115.83	42.47	22.27	13.11	17.55	27.01	20.54	31.36	42.57
DTX3	36.78	55.4	52.15	55.95	31.69	21.52	35.66	50.63	28.63	16.56	64	27.97	27.97	37.44	28.82	40.29	90.16	33.03	49.65	34.62	55.92	42.92	33.61	38.06	40.69	18.57	39.44	41.74	31.04	18.53	37.75	46.25	32.77	37.28	78.32	30.01	16.89	52.59
DTX4	18.39	87.06	51.48	65.99	33.81	6.55	189.28	84.38	7.35	15.1	40.42	32.91	27.97	41.06	59.15	72.52	48.01	10.81	28.67	45.01	31.07	56.24	76.45	8.01	48.09	20.53	14.92	45.91	29.85	32.43	42.47	47.96	29.5	39.48	40.51	23.7	12.06	32.55
DUSP1	73.91	356.14	443.26	266.85	164.8	556.59	877.8	196.88	38.3	240.66	1546.01	408.92	95.26	1266.9	389.79	298.16	920.33	1159.66	47.55	585.07	96.75	335.45	998.93	440.75	475.98	58.65	101.26	569.7	63.28	157.53	259.56	572.11	324.46	566.93	683.29	357.01	603.12	1545.03
DUSP10	100.44	47.49	50.81	50.21	44.37	26.19	29.26	90	131.14	29.72	33.68	102.02	61.99	42.27	80.38	54.8	60.89	277.45	151.05	90.01	43.49	46.86	23.52	24.04	44.39	16.62	103.39	52.17	59.7	120.47	94.38	46.25	31.14	40.57	43.21	41.07	24.12	85.14
DUSP2	15.56	15.83	12.7	47.34	8.45	38.35	34.75	101.25	13.93	10.23	30.31	32.09	14.36	16.91	21.23	7.25	33.96	78.67	16.78	34.62	7.99	24.67	26.04	48.08	38.23	22.48	21.32	35.48	26.27	46.33	9.44	23.98	36.05	23.03	51.31	28.43	36.19	55.09
DUSP5	51.99	71.23	915.94	152.08	84.52	2212.33	269.74	33.75	48.35	346.38	141.47	340.63	380.26	61.59	115.27	91.06	93.67	276.25	79.02	69.24	1584.35	117.41	231.88	1923.27	209.63	19.55	72.48	70.95	40.6	41.7	51.91	80.51	106.51	99.79	81.02	99.52	84.44	125.21
E2F3	81.69	79.14	57.5	51.65	59.16	60.8	29.26	33.75	86.65	39.95	33.68	60.89	45.36	45.89	54.6	67.69	48.01	139.93	134.96	65.78	43.49	37.49	36.13	62.11	53.02	49.85	78.88	52.17	103.08	83.4	42.47	39.4	34.41	29.61	81.02	58.45	38.6	67.61
E2F5	26.52	7.91	38.11	40.17	29.58	61.74	14.63	5.63	23.21	22.41	16.84	15.63	37.04	10.87	15.17	22.56	16.39	32.43	37.76	10.39	40.83	36.01	22.68	74.13	24.66	36.17	19.19	12.52	162.78	27.8	37.75	17.13	22.94	17.55	8.1	33.17	7.24	5.01
EDN1	12.73	47.49	16.05	30.13	29.58	4.68	38.4	28.13	3.87	10.23	64	26.33	6.05	121.98	71.28	32.23	51.52	6.01	4.9	51.93	7.99	38.97	44.53	6.01	54.26	10.75	5.33	50.08	18.71	32.43	37.75	97.64	37.69	67.99	105.33	47.39	91.67	75.12
EFNB3	66.13	55.4	12.03	77.47	46.48	45.84	40.23	61.88	3.48	9.74	37.05	16.46	86.18	25.36	21.23	37.87	22.25	30.63	111.89	13.85	15.09	51.8	49.57	44.08	39.46	19.55	8.53	31.3	104.68	55.6	33.03	25.69	29.5	23.03	43.21	33.17	21.71	35.06
EGF	8.49	7.91	8.69	12.91	8.45	3.74	9.14	28.13	11.61	10.23	3.37	8.23	3.02	1.21	6.07	4.03	14.05	2.4	51.05	6.92	12.43	6.91	10.08	6.01	3.7	1.95	13.86	10.43	8.76	13.9	117.98	6.85	1.64	2.19	13.5	4.74	31.36	7.51
EGR1	36.78	47.49	38.78	48.78	33.81	230.12	148.13	56.25	37.14	46.28	181.88	43.61	171.61	109.9	15.17	24.98	111.24	199.38	37.06	31.16	39.94	80.9	52.93	264.45	72.75	28.35	54.36	73.04	88.36	27.8	9.44	73.66	19.66	31.8	59.42	44.23	7.24	52.59
EIF4EBP1	302.38	174.11	130.37	173.6	152.13	695.97	51.2	202.5	392.64	539.78	131.36	211.45	151.95	99.03	113.75	168.42	101.87	205.39	378.32	131.55	240.54	183.01	50.41	727.24	70.29	201.36	285.66	79.3	109.05	231.67	155.73	92.5	158.95	94.31	89.12	169.03	74.79	187.81
EIF5AL1	2.83	15.83	5.35	34.43	19.02	5.61	8.23	28.13	2.71	4.87	33.68	11.52	8.32	7.25	25.78	4.03	18.73	6.61	3.5	20.77	2.66	11.84	8.4	10.02	6.17	8.8	9.59	29.22	9.95	55.6	42.47	6.85	6.55	5.48	13.5	22.12	24.12	7.51
EMR1	2.12	31.66	6.69	21.52	21.13	5.61	8.23	50.63	3.87	5.36	47.16	9.87	7.56	4.83	15.17	4.03	10.54	7.21	3.5	20.77	11.54	6.91	10.92	20.03	4.93	5.86	11.72	6.26	13.13	50.97	33.03	1.71	26.22	6.58	32.41	20.54	19.3	20.03
ENO1	966.55	435.28	427.22	406.01	576.82	1134.7	469.07	236.26	650.66	825.75	208.83	546.32	379.51	428.74	420.12	514.12	337.22	736.27	1390.9	394.66	528.12	417.83	335.22	1230.09	475.98	192.56	710.94	356.84	445.77	319.7	207.64	717.71	791.48	487.98	469.93	1131.06	332.92	405.67
ENTPD1	5.66	71.23	56.16	41.61	12.68	14.97	34.75	22.5	17.02	57.97	47.16	36.2	9.83	73.67	54.6	32.23	50.35	18.02	7.69	100.4	15.09	24.17	33.61	10.02	27.13	43.99	39.44	121.03	12.34	55.6	23.6	29.12	58.99	36.19	59.42	22.12	28.95	37.56
EOMES	8.49	7.91	4.68	10.04	14.79	3.74	2.74	5.63	2.71	6.82	3.37	4.94	3.02	4.83	10.62	5.64	7.03	24.62	8.39	20.77	7.1	5.92	5.04	6.01	18.5	3.91	10.66	16.69	3.58	18.53	9.44	6.85	22.94	14.26	32.41	18.96	4.82	17.53
EP300	165.51	166.2	190.54	258.24	171.14	254.44	177.39	135	236.75	220.2	212.2	220.5	154.22	188.41	174.42	206.29	155.73	140.53	167.83	152.32	220.12	291.05	193.23	226.39	181.27	381.21	197.19	166.94	390.84	148.27	84.95	186.71	234.33	222.61	191.75	173.77	173.7	232.88
EPCAM	1.77	15.83	1.34	8.61	4.23	1.87	32	16.88	2.32	3.9	10.1	24.68	3.78	10.87	9.1	2.42	8.2	3	1	6.92	1.78	6.41	17.64	4.01	7.4	2.93	1.07	12.52	3.98	4.63	4.72	11.99	11.47	16.45	2.7	26.85	9.65	7.51
EPM2AIP1	42.79	15.83	62.85	76.04	65.5	52.38	87.78	73.13	64.99	84.77	70.73	50.19	85.43	78.5	59.15	67.69	97.18	66.66	60.84	55.39	57.69	79.91	57.13	62.11	91.25	91.88	69.28	50.08	84.78	13.9	99.1	54.81	96.68	73.47	64.82	47.39	72.37	42.57
ETS1	430.05	189.94	330.94	340.02	403.56	150.61	133.5	56.25	281.23	247	282.93	194.17	452.84	328.5	216.89	348.92	380.54	505.06	537.76	308.11	165.98	389.71	154.59	170.29	294.71	401.73	317.63	325.54	238.01	106.57	188.77	335.73	449	316.91	315.99	219.58	180.94	333.05
EXO1	35.37	15.83	12.03	44.47	33.81	48.64	3.66	16.88	35.98	28.26	13.47	38.67	16.63	7.25	22.75	32.23	18.73	34.83	33.57	10.39	20.41	19.73	20.16	46.08	22.2	53.76	20.25	8.35	82.79	4.63	33.03	1.71	22.94	6.58	18.91	45.81	7.24	5.01
EZH2	61.54	63.31	60.17	71.73	103.53	100.09	57.61	5.63	47.19	56.51	33.68	38.67	47.63	41.06	57.63	70.91	50.35	53.45	55.94	45.01	47.93	68.57	41.17	132.23	66.59	80.15	53.29	52.17	119	64.87	47.19	77.08	81.93	63.6	54.01	140.59	50.66	22.54
F13A1	14.15	1210.87	1226.16	576.74	188.05	122.54	273.4	33.75	16.63	600.68	1188.98	174.43	26.46	1524.15	612.74	172.45	499.97	92.48	7.69	862.02	189.06	586.54	572.98	58.1	284.85	368.5	87.4	2658.59	19.9	222.4	217.08	943.81	489.97	326.78	424.02	273.29	443.9	921.51
F2RL1	16.62	47.49	19.39	55.95	57.05	27.13	120.7	16.88	1.93	57	13.47	18.1	4.54	85.75	97.07	84.61	33.96	42.64	2.1	17.31	8.88	81.39	110.9	40.07	93.72	5.86	8.53	177.38	11.94	32.43	4.72	183.28	136.01	128.3	272.78	276.45	79.61	110.18
FAM129A	80.28	419.45	292.83	200.85	114.1	67.35	203.91	61.88	34.43	133.48	373.87	213.1	27.97	314.01	1037.42	181.31	1745.81	169.35	248.25	335.81	131.36	130.72	250.36	106.18	273.75	47.9	173.74	448.66	43.38	139	1156.2	270.64	494.88	400.25	342.99	187.98	231.6	195.32
FAM179B	74.62	39.57	83.57	96.12	76.06	74.84	64.92	67.5	50.68	44.33	111.15	60.06	78.62	96.62	60.67	107.98	124.12	88.28	64.34	93.47	71.01	87.31	80.65	78.13	75.22	111.43	43.7	93.91	74.83	111.2	84.95	99.35	55.72	87.73	89.12	52.13	82.02	50.08
FAM30A	1.77	7.91	10.03	17.22	10.56	3.74	10.06	16.88	1.93	26.79	13.47	5.76	6.05	10.87	18.2	4.83	29.27	43.24	1.4	3.46	13.31	9.87	3.36	2	11.1	11.73	14.92	6.26	11.54	13.9	4.72	6.85	6.55	10.97	13.5	12.64	12.06	2.5
FANCA	54.46	55.4	43.46	73.17	92.97	58	72.24	39.38	75.82	29.23	10.1	46.9	45.36	19.32	50.05	62.05	37.47	87.68	86.71	13.85	35.5	65.12	58.81	96.16	59.19	50.83	74.61	43.82	116.62	46.33	28.32	17.13	50.8	44.96	45.91	80.56	21.71	62.6
FAP	22.28	39.57	196.56	73.17	42.26	53.32	32.92	33.75	15.47	113.51	215.57	54.3	18.14	175.12	128.92	80.58	132.31	71.47	4.9	79.62	110.95	74.98	53.77	52.09	53.02	51.81	35.17	252.5	18.31	101.93	33.03	147.31	60.63	164.49	89.12	52.13	98.91	47.58
FAS	2.83	63.31	24.74	17.22	27.47	15.9	14.63	16.88	5.42	11.69	43.79	22.21	18.14	37.44	9.1	24.17	28.1	12.01	5.59	24.23	20.41	15.79	19.32	12.02	24.66	8.8	8.53	39.65	5.97	60.23	14.16	34.26	21.3	27.41	24.31	23.7	45.84	52.59
FASLG	1.77	31.66	4.01	17.22	14.79	2.81	7.31	56.25	8.51	10.23	10.1	9.05	5.29	12.08	19.72	4.83	30.44	7.81	2.1	17.31	11.54	11.35	18.48	2	14.8	7.82	28.78	14.61	12.34	60.23	4.72	10.28	29.5	13.16	40.51	25.28	24.12	37.56
FBP1	3.18	253.25	33.43	34.43	33.81	5.61	331	95.63	77.37	76	64	118.48	6.8	22.95	34.88	39.49	33.96	35.43	4.9	280.42	26.63	44.4	73.09	20.03	71.52	82.11	764.24	31.3	15.92	134.37	113.26	15.42	21.3	40.57	13.5	58.45	33.77	190.31
FCAR	1.06	31.66	4.01	11.48	12.68	4.68	8.23	16.88	1.93	4.38	10.1	7.4	6.05	2.42	22.75	1.61	4.68	4.8	2.1	10.39	7.1	3.45	7.56	14.02	8.63	2.93	11.72	14.61	7.56	41.7	4.72	3.43	14.75	5.48	24.31	12.64	12.06	15.02
FCGR1A/B	1.41	23.74	7.35	7.17	12.68	2.81	5.49	28.13	2.32	4.38	10.1	2.47	2.27	2.42	7.58	1	8.2	3	1.4	3.46	6.21	2.96	3.36	2	3.7	6.84	8.53	8.35	6.37	13.9	23.6	10.28	8.19	1.1	8.1	6.32	16.89	5.01
FCGR2A	16.98	538.16	148.42	61.69	69.72	73.9	33.83	2638.19	88.59	246.02	181.88	157.97	26.46	241.55	65.22	39.49	193.2	100.29	25.17	965.88	179.29	49.82	27.72	68.12	83.85	265.87	262.21	194.07	60.5	1612.39	108.54	311.75	232.69	61.41	121.53	178.5	185.76	483.29
FCGR2B	19.8	1282.1	190.54	68.86	103.53	24.32	50.29	405.01	63.05	409.71	90.94	65.82	31	90.58	47.02	50.77	78.45	36.63	125.17	799.71	213.02	74.98	39.49	36.06	50.56	89.93	101.26	196.16	57.31	838.63	28.32	82.22	60.63	51.54	56.72	52.13	53.07	210.34
FCGR3A/B	7.43	110.8	68.19	30.13	67.61	130.96	14.63	22.5	162.86	335.17	90.94	124.24	19.66	80.92	78.87	20.95	249.4	175.96	19.58	270.03	86.98	29.6	32.77	96.16	64.12	106.54	443.41	133.56	117.01	139	179.33	179.86	222.86	77.86	135.04	132.69	147.16	157.76
FCGRT	235.89	1076.33	554.25	444.75	281.01	80.45	307.23	1130.65	378.72	552.94	825.21	431.13	34.78	619.56	310.92	311.05	268.14	265.44	187.41	1062.81	377.23	484.92	306.65	84.14	404.46	499.48	561.72	782.55	198.6	838.63	382.25	508.73	254	439.73	253.87	255.91	381.17	1114.33
FCN1	1.77	55.4	28.75	14.35	6.34	4.68	10.06	33.75	3.48	68.69	23.58	8.23	3.78	22.95	22.75	10.48	26.93	4.8	1	17.31	50.59	11.35	8.4	2	24.66	17.59	28.78	27.13	4.38	18.53	14.16	27.41	26.22	18.64	16.2	15.8	16.89	30.05
FCRL2	1.06	23.74	4.01	30.13	10.56	2.81	5.49	16.88	2.32	1.95	26.95	9.87	3.02	3.62	18.2	3.22	30.44	7.81	1	6.92	7.1	5.92	4.2	2	8.63	11.73	12.79	14.61	39	27.8	18.88	3.43	6.55	8.77	18.91	20.54	9.65	5.01
FEZ1	14.5	47.49	141.07	41.61	38.03	79.51	39.32	11.25	11.99	97.92	50.52	39.49	517.1	103.86	121.34	33.84	62.06	16.82	13.29	31.16	173.97	36.5	70.57	98.17	49.32	15.64	11.72	108.51	5.57	27.8	94.38	59.95	40.97	70.18	70.22	44.23	60.31	37.56
FGF13	12.02	15.83	14.04	31.56	31.69	54.26	12.8	39.38	39.84	6.33	43.79	15.63	13.61	36.23	24.27	8.06	19.91	6.01	37.06	27.7	3.55	15.29	11.76	38.06	14.8	43.99	31.98	20.87	56.52	32.43	56.63	35.97	24.58	15.35	16.2	11.06	14.47	12.52
FGF18	1	15.83	23.4	1.43	6.34	3.74	1.83	5.63	1.93	1	47.16	28.8	5.29	9.66	16.68	1.61	1.17	2.4	1.4	10.39	1.78	1	4.2	4.01	8.63	1	1.07	6.26	1.59	9.27	23.6	1.71	4.92	24.12	5.4	4.74	2.41	10.02
FGF9	2.12	31.66	5.35	21.52	21.13	2.81	7.31	22.5	3.09	1.95	6.74	6.58	5.29	7.25	12.13	1	15.22	2.4	2.8	10.39	7.99	9.87	3.36	6.01	7.4	8.8	6.4	16.69	11.54	41.7	33.03	6.85	4.92	4.39	24.31	12.64	9.65	10.02
FGFR1	155.96	197.85	873.15	443.31	289.46	550.98	177.39	191.25	39.84	284.02	623.12	282.21	66.53	455.31	467.14	319.11	199.05	145.93	139.86	263.11	1154.76	375.4	335.22	659.12	287.31	343.09	74.61	515.44	147.26	240.93	207.64	260.36	203.2	387.09	237.67	102.68	253.31	162.77
FLT1	14.15	55.4	88.25	41.61	80.29	59.87	111.55	28.13	19.73	60.9	101.05	41.96	12.85	49.52	42.47	46.74	42.15	22.82	15.38	41.54	53.26	27.62	77.29	64.11	83.85	36.17	26.65	123.12	34.63	32.43	89.66	37.68	52.44	47.15	51.31	78.98	28.95	35.06
FOSL1	14.15	31.66	34.1	48.78	44.37	99.16	22.86	28.13	20.89	35.56	16.84	39.49	9.07	10.87	36.4	23.37	17.56	57.05	15.38	24.23	32.84	26.14	18.48	88.15	13.56	13.68	20.25	22.95	32.24	69.5	18.88	25.69	26.22	21.93	62.12	22.12	7.24	50.08
FOXP3	5.3	23.74	18.72	25.82	23.24	7.48	34.75	45	15.09	16.08	23.58	10.7	3.78	7.25	28.82	12.89	16.39	27.02	4.2	20.77	7.99	28.61	21.84	12.02	40.69	7.82	44.77	27.13	9.55	37.07	23.6	20.55	36.05	17.55	24.31	20.54	4.82	22.54
FPR1	2.12	31.66	14.04	20.09	4.23	10.29	3.66	22.5	4.64	10.72	20.21	12.34	6.8	4.83	12.13	5.64	15.22	8.41	3.5	20.77	20.41	8.88	5.88	12.02	9.86	7.82	12.79	22.95	15.12	37.07	18.88	10.28	22.94	7.68	13.5	18.96	19.3	40.07
FPR3	8.49	364.05	141.74	50.21	50.71	76.71	47.55	630.01	73.5	90.13	104.41	74.87	17.39	134.06	177.45	86.22	159.24	134.52	10.49	713.16	91.42	67.58	55.45	72.12	113.45	74.29	267.54	160.68	28.66	648.66	165.17	143.88	176.98	119.53	186.35	189.56	77.2	505.83
FST	4.6	47.49	24.07	60.26	38.03	84.19	82.29	45	7.35	8.77	47.16	55.95	9.83	89.37	45.5	24.17	56.2	16.82	5.59	20.77	50.59	33.05	79.81	232.4	76.45	10.75	20.25	31.3	30.25	41.7	47.19	63.38	65.55	95.4	48.61	72.67	60.31	92.65
FSTL3	1.41	23.74	51.48	20.09	21.13	27.13	21.03	45	3.09	17.54	30.31	32.09	32.51	44.69	48.53	18.53	77.28	24.02	2.1	17.31	68.34	18.75	20.16	28.05	22.2	12.71	3.2	31.3	11.14	18.53	47.19	27.41	16.39	18.64	29.71	25.28	36.19	20.03
FYN	65.78	142.46	378.41	213.77	209.17	466.79	102.41	174.38	307.15	180.25	316.61	275.63	428.65	338.16	353.39	302.18	255.26	375.94	92.31	176.56	186.39	191.89	175.59	508.87	293.48	316.7	259.01	404.84	50.94	88.03	302.03	286.06	275.3	213.83	221.46	162.71	224.36	235.39
FZD3	93.72	15.83	42.79	38.74	23.24	67.35	20.12	5.63	23.6	34.59	23.58	40.32	113.4	26.57	31.85	51.57	63.23	40.84	58.74	13.85	68.34	22.69	26.88	110.19	38.23	55.72	22.38	33.39	33.43	4.63	51.91	18.84	29.5	25.22	24.31	39.49	21.71	12.52
FZD8	1	55.4	21.39	37.3	10.56	346.12	21.03	28.13	1.93	17.05	23.58	17.28	45.36	25.36	25.78	3.22	33.96	12.01	3.5	34.62	7.1	7.89	16.8	366.62	20.96	10.75	3.2	18.78	18.31	37.07	37.75	18.84	11.47	19.74	10.8	7.9	16.89	17.53
FZD9	18.74	15.83	25.41	15.78	16.9	44.9	3.66	61.88	4.64	6.33	10.1	10.7	9.07	4.83	12.13	20.15	15.22	14.41	31.47	3.46	40.83	8.88	7.56	140.24	6.17	20.53	7.46	12.52	25.07	9.27	33.03	3.43	4.92	4.39	8.1	11.06	2.41	5.01
