B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	680	4	143	48	0	6	0	5	0	1	0	0	41	115
Blood_vessels	4	12662	1110	2231	41	117	87	262	21	76	5	411	1067	7093
CD4T	143	1110	3144	2492	21	54	141	76	18	55	3	331	520	10251
CD8T	48	2231	2492	14720	88	43	55	139	46	53	7	375	1337	35974
DC	0	41	21	88	30	1	0	0	0	2	0	11	28	448
Fap	6	117	54	43	1	360	0	14	0	9	0	25	19	264
Lymphatic_vessels	0	87	141	55	0	0	4892	0	1	0	0	72	79	254
MA	5	262	76	139	0	14	0	1048	5	60	4	95	31	819
MDSC_G	0	21	18	46	0	0	1	5	106	3	0	8	8	497
MDSC_M	1	76	55	53	2	9	0	60	3	58	0	23	15	199
MO	0	5	3	7	0	0	0	4	0	0	0	4	1	10
NK	0	411	331	375	11	25	72	95	8	23	4	732	101	1678
Treg	41	1067	520	1337	28	19	79	31	8	15	1	101	810	3629
Tumor	115	7093	10251	35974	448	264	254	819	497	199	10	1678	3629	323946
