B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	98	55	26	12	0	0	0	4	12	0	17	9	4	145
Blood_vessels	55	33532	3454	2486	5	61	7	1094	1064	73	2538	673	573	23981
CD4T	26	3454	5806	1621	1	32	15	1377	982	46	2246	495	458	15437
CD8T	12	2486	1621	3150	8	14	8	552	476	35	1189	316	265	18092
DC	0	5	1	8	0	0	0	0	0	0	9	0	0	57
Fap	0	61	32	14	0	130	0	15	3	3	11	6	2	128
Lymphatic_vessels	0	7	15	8	0	0	40	3	1	1	6	2	4	167
MA	4	1094	1377	552	0	15	3	2348	716	60	2012	155	133	8817
MDSC_G	12	1064	982	476	0	3	1	716	11614	27	1208	204	26	16629
MDSC_M	0	73	46	35	0	3	1	60	27	22	93	14	14	473
MO	17	2538	2246	1189	9	11	6	2012	1208	93	5510	318	362	20082
NK	9	673	495	316	0	6	2	155	204	14	318	600	75	4845
Treg	4	573	458	265	0	2	4	133	26	14	362	75	398	3576
Tumor	145	23981	15437	18092	57	128	167	8817	16629	473	20082	4845	3576	960880
