B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	18	2	5	11	0	2	0	2	0	2	2	0	4	95
Blood_vessels	2	15876	780	2916	57	15	819	23	72	136	12	102	990	10667
CD4T	5	780	1594	1439	30	34	518	15	40	56	15	51	599	6910
CD8T	11	2916	1439	13344	100	19	817	16	57	100	10	85	1078	35774
DC	0	57	30	100	106	0	21	1	2	0	0	2	19	990
Fap	2	15	34	19	0	206	31	0	3	2	4	0	20	128
Lymphatic_vessels	0	819	518	817	21	31	19832	9	5	9	11	12	843	5478
MA	2	23	15	16	1	0	9	20	4	12	2	5	7	186
MDSC_G	0	72	40	57	2	3	5	4	168	30	4	14	30	387
MDSC_M	2	136	56	100	0	2	9	12	30	144	3	17	14	420
MO	2	12	15	10	0	4	11	2	4	3	6	4	4	151
NK	0	102	51	85	2	0	12	5	14	17	4	72	20	774
Treg	4	990	599	1078	19	20	843	7	30	14	4	20	1316	5099
Tumor	95	10667	6910	35774	990	128	5478	186	387	420	151	774	5099	354604
