B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	4	22	0	1	0	0	0	0	0	0	0	0	3	34
Blood_vessels	22	57160	1739	2106	131	1553	5	2766	37	1179	574	390	1755	22319
CD4T	0	1739	1684	655	55	36	7	523	18	160	153	75	801	8177
CD8T	1	2106	655	3320	134	22	2	303	13	47	228	121	775	18910
DC	0	131	55	134	192	1	0	24	0	2	39	0	101	1302
Fap	0	1553	36	22	1	1364	6	139	0	77	12	13	24	489
Lymphatic_vessels	0	5	7	2	0	6	12	11	0	0	2	0	9	85
MA	0	2766	523	303	24	139	11	5070	78	574	456	168	449	5918
MDSC_G	0	37	18	13	0	0	0	78	148	16	17	7	10	456
MDSC_M	0	1179	160	47	2	77	0	574	16	438	45	47	61	887
MO	0	574	153	228	39	12	2	456	17	45	310	31	175	3533
NK	0	390	75	121	0	13	0	168	7	47	31	184	89	1898
Treg	3	1755	801	775	101	24	9	449	10	61	175	89	1994	8657
Tumor	34	22319	8177	18910	1302	489	85	5918	456	887	3533	1898	8657	775294
