B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	140	88	290	81	0	2	0	27	1	11	13	3	27	524
Blood_vessels	88	33554	15982	5886	109	11	11	495	60	850	429	445	1115	37430
CD4T	290	15982	73272	10825	125	23	12	1091	126	1692	1712	568	2842	82001
CD8T	81	5886	10825	9510	59	2	2	328	60	809	370	353	980	47620
DC	0	109	125	59	6	0	0	2	0	6	4	6	20	447
Fap	2	11	23	2	0	20	0	20	0	2	0	1	1	120
Lymphatic_vessels	0	11	12	2	0	0	2	1	0	0	0	0	0	30
MA	27	495	1091	328	2	20	1	5104	9	674	140	127	45	3742
MDSC_G	1	60	126	60	0	0	0	9	222	32	13	29	4	874
MDSC_M	11	850	1692	809	6	2	0	674	32	2142	335	195	99	4746
MO	13	429	1712	370	4	0	0	140	13	335	366	35	54	2397
NK	3	445	568	353	6	1	0	127	29	195	35	216	64	3126
Treg	27	1115	2842	980	20	1	0	45	4	99	54	64	622	6457
Tumor	524	37430	82001	47620	447	120	30	3742	874	4746	2397	3126	6457	866264
