B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	7336	229	221	185	0	12	7	1	0	10	6	8	161	343
Blood_vessels	229	18456	2610	8451	18	370	39	221	77	77	21	164	921	9325
CD4T	221	2610	8404	14270	50	64	31	77	20	55	17	77	1082	11908
CD8T	185	8451	14270	100298	128	180	39	89	200	65	32	170	3374	88276
DC	0	18	50	128	16	0	0	0	1	0	0	0	8	447
Fap	12	370	64	180	0	686	7	34	0	18	0	21	27	421
Lymphatic_vessels	7	39	31	39	0	7	12	3	0	0	0	1	10	54
MA	1	221	77	89	0	34	3	142	1	17	2	13	19	595
MDSC_G	0	77	20	200	1	0	0	1	322	1	0	2	3	446
MDSC_M	10	77	55	65	0	18	0	17	1	116	3	13	13	241
MO	6	21	17	32	0	0	0	2	0	3	0	1	3	39
NK	8	164	77	170	0	21	1	13	2	13	1	124	35	515
Treg	161	921	1082	3374	8	27	10	19	3	13	3	35	1216	2809
Tumor	343	9325	11908	88276	447	421	54	595	446	241	39	515	2809	290550
