B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	320	78	381	91	2	5	10	0	0	5	0	3	149	698
Blood_vessels	78	68000	10518	6524	143	1810	78	260	165	157	12	363	5259	45802
CD4T	381	10518	47160	9061	71	295	225	225	149	163	10	282	4584	59674
CD8T	91	6524	9061	13082	76	69	151	105	58	67	3	227	2469	46649
DC	2	143	71	76	612	8	6	4	1	0	0	2	170	1671
Fap	5	1810	295	69	8	3906	6	60	11	18	0	52	217	1682
Lymphatic_vessels	10	78	225	151	6	6	1810	3	0	1	0	3	35	1256
MA	0	260	225	105	4	60	3	3158	20	19	2	46	54	2429
MDSC_G	0	165	149	58	1	11	0	20	274	12	0	14	15	1733
MDSC_M	5	157	163	67	0	18	1	19	12	172	0	130	29	800
MO	0	12	10	3	0	0	0	2	0	0	6	2	9	95
NK	3	363	282	227	2	52	3	46	14	130	2	556	90	2625
Treg	149	5259	4584	2469	170	217	35	54	15	29	9	90	5622	17336
Tumor	698	45802	59674	46649	1671	1682	1256	2429	1733	800	95	2625	17336	1027554
