B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	56	53	5	7	0	1	0	1	0	0	1	0	5	158
Blood_vessels	53	37538	1798	2323	52	126	61	750	23	48	568	311	2085	28475
CD4T	5	1798	2074	553	34	13	52	53	6	4	228	72	921	8812
CD8T	7	2323	553	2612	47	15	31	32	10	6	247	109	635	22382
DC	0	52	34	47	106	0	4	1	1	0	31	1	35	707
Fap	1	126	13	15	0	246	1	4	0	0	0	1	20	207
Lymphatic_vessels	0	61	52	31	4	1	228	2	0	0	10	4	15	353
MA	1	750	53	32	1	4	2	616	18	9	127	15	48	1210
MDSC_G	0	23	6	10	1	0	0	18	466	5	119	4	7	725
MDSC_M	0	48	4	6	0	0	0	9	5	6	6	3	6	66
MO	1	568	228	247	31	0	10	127	119	6	936	49	243	6550
NK	0	311	72	109	1	1	4	15	4	3	49	650	70	2777
Treg	5	2085	921	635	35	20	15	48	7	6	243	70	1650	9821
Tumor	158	28475	8812	22382	707	207	353	1210	725	66	6550	2777	9821	1227084
