B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	22	6	13	5	0	0	4	3	0	1	2	0	1	88
Blood_vessels	6	16814	219	206	3	75	687	62	31	491	41	69	755	13243
CD4T	13	219	88	33	0	3	40	10	3	25	2	5	75	626
CD8T	5	206	33	76	0	5	30	7	2	23	2	9	36	886
DC	0	3	0	0	0	0	3	0	0	2	0	1	3	43
Fap	0	75	3	5	0	230	59	3	0	0	0	0	5	81
Lymphatic_vessels	4	687	40	30	3	59	32484	96	0	13	44	7	203	5319
MA	3	62	10	7	0	3	96	124	0	80	10	11	3	285
MDSC_G	0	31	3	2	0	0	0	0	2	5	0	0	1	58
MDSC_M	1	491	25	23	2	0	13	80	5	596	4	25	28	531
MO	2	41	2	2	0	0	44	10	0	4	20	0	12	357
NK	0	69	5	9	1	0	7	11	0	25	0	34	3	213
Treg	1	755	75	36	3	5	203	3	1	28	12	3	602	4698
Tumor	88	13243	626	886	43	81	5319	285	58	531	357	213	4698	608388
