B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	56	24	1	3	0	0	0	0	0	0	0	2	6	51
Blood_vessels	24	15672	810	1607	716	11	6	23	5	4	8	91	2198	9575
CD4T	1	810	564	242	51	0	10	21	7	4	3	24	414	2605
CD8T	3	1607	242	1442	142	0	2	24	10	2	8	23	358	7730
DC	0	716	51	142	260	0	1	3	0	1	2	3	98	1420
Fap	0	11	0	0	0	16	0	0	0	0	0	0	2	3
Lymphatic_vessels	0	6	10	2	1	0	2	0	0	0	0	1	9	25
MA	0	23	21	24	3	0	0	82	6	0	8	4	19	432
MDSC_G	0	5	7	10	0	0	0	6	148	0	6	1	3	384
MDSC_M	0	4	4	2	1	0	0	0	0	4	0	0	0	45
MO	0	8	3	8	2	0	0	8	6	0	8	2	6	179
NK	2	91	24	23	3	0	1	4	1	0	2	40	23	523
Treg	6	2198	414	358	98	2	9	19	3	0	6	23	2178	3789
Tumor	51	9575	2605	7730	1420	3	25	432	384	45	179	523	3789	210314
