comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition
CD45_1_vs_B2	0.617727845414068	1.87427946247189e-06	3	0.723448941497338	untreated
CD45_2_vs_B2	-2.53659641242271	6.24738996190756e-11	0	0.0344030076826549	untreated
CD8_1_vs_B2	-2.60493986636277	6.24738996190756e-11	0	0.0402661276850823	untreated
CD8_2_vs_B2	-3.25232461177597	6.24738996190756e-11	0	0.178782337742429	untreated
CD8_3_vs_B2	-2.80923301374773	6.24738996190756e-11	0	0.0644514976950952	untreated
CD8_4_vs_B2	-0.538043431152261	6.24738996190756e-11	0	0.000345178256789966	untreated
CD8_5_vs_B2	-1.84945146495892	6.24738996190756e-11	0	0.00707052178898608	untreated
CD8_6_vs_B2	-3.11660641025987	6.24738996190756e-11	0	0.130799598310799	untreated
DC1_vs_B2	-2.64020219253737	6.24738996190756e-11	0	0.0436719106276688	untreated
DC2_vs_B2	-2.00935049811506	6.24738996190756e-11	0	0.010217637672642	untreated
DC3_vs_B2	-2.24949415328677	6.24738996190756e-11	0	0.0177620935581184	untreated
DC4_vs_B2	-1.67600901158991	6.24738996190756e-11	0	0.0047425182586105	untreated
E1_vs_B2	0.0597796629107406	6.24801470090375e-07	1	0.871492721558629	untreated
E2_vs_B2	0.343870308946786	1.24954046628113e-06	2	0.906110996278844	untreated
E3_vs_B2	-1.22572908493847	6.24738996190756e-11	0	0.0016816247279315	untreated
M1_vs_B2	-0.942531409151112	1.24954046628113e-06	2	17.5219775272756	untreated
M10_vs_B2	-3.14607305952223	6.24738996190756e-11	0	0.139982278902836	untreated
M11_vs_B2	-3.87326328599125	6.24738996190756e-11	0	0.746901421507047	untreated
M12_vs_B2	-1.33361807065302	6.24738996190756e-11	0	0.0021558476693043	untreated
M13_vs_B2	-2.00567011886329	6.24738996190756e-11	0	0.0101314153196651	untreated
M2_vs_B2	-4.27876255423438	6.24738996190756e-11	0	1.90003917021975	untreated
M3_vs_B2	-3.21710851928248	6.24738996190756e-11	0	0.164857427736664	untreated
M4_vs_B2	-1.83050806035512	6.24738996190756e-11	0	0.00676874355356702	untreated
M5_vs_B2	-2.24843877631326	6.24738996190756e-11	0	0.0177189823816299	untreated
M6_vs_B2	-3.34419956369884	6.24738996190756e-11	0	0.220901957171632	untreated
M7_vs_B2	0.555694538278926	1.06206254091425e-05	17	4.7288652378615	untreated
M8_vs_B2	0.849292819416566	1.24954046628113e-06	2	0.28298205131498	untreated
M9_vs_B2	-2.60772082384706	6.24738996190756e-11	0	0.0405247947440129	untreated
Mo1_vs_B2	0.176237644860819	4.99797444342567e-06	8	5.33160259634633	untreated
Mo2_vs_B2	0.937705334637283	3.1237574548534e-06	5	0.577129608495584	untreated
Mo3_vs_B2	-3.26481496727207	6.24738996190756e-11	0	0.18399879009753	untreated
Mo4_vs_B2	1.1695520467578	6.24801470090375e-07	1	0.067684835931728	untreated
Mo5_vs_B2	-2.57956908596173	6.24738996190756e-11	0	0.0379812353311951	untreated
Mo6_vs_B2	1.48635382921693	6.24801470090375e-07	1	0.032635449446629	untreated
Mo7_vs_B2	-1.68383387676463	6.24738996190756e-11	0	0.00482874061158737	untreated
Mo8_vs_B2	-1.76494519658963	6.24738996190756e-11	0	0.00582029767082142	untreated
N1_vs_B2	-0.200122826361497	6.24801470090375e-07	1	1.58550002656012	untreated
N2_vs_B2	-3.08159381279602	6.24738996190756e-11	0	0.120668471836017	untreated
N3_vs_B2	-2.57110698501386	6.24738996190756e-11	0	0.0372483453308917	untreated
N4_vs_B2	-2.0894449443736	6.24738996190756e-11	0	0.0122869741440869	untreated
N5_vs_B2	0.861525836460437	6.24801470090375e-07	1	0.137568053019484	untreated
N6_vs_B2	-0.386144465878546	1.87427946247189e-06	3	7.29928291363155	untreated
N7_vs_B2	-4.54338043668644	6.24738996190756e-11	0	3.49446292146809	untreated
NK1_vs_B2	0.15701201602295	6.24801470090375e-07	1	0.696676900898018	untreated
NK2_vs_B2	-1.85471549119468	6.24738996190756e-11	0	0.00715674414196295	untreated
NKT_vs_B2	0.952152664977404	6.24801470090375e-07	1	0.111658235949933	untreated
S_vs_B2	-2.11604210636262	6.24738996190756e-11	0	0.0130629753208788	untreated
T1_vs_B2	-2.22005816204993	6.24738996190756e-11	0	0.0165980917929306	untreated
T10_vs_B2	-0.00697985010519087	6.24801470090375e-07	1	1.01630316338329	untreated
T11_vs_B2	-4.54753430398241	6.24738996190756e-11	0	3.52804652795258	untreated
T12_vs_B2	-0.368826643684882	2.49901845866264e-06	4	9.35184913742251	untreated
T2_vs_B2	-1.41278961864846	6.24738996190756e-11	0	0.00258695943418867	untreated
T3_vs_B2	-2.68882235281312	6.24738996190756e-11	0	0.0488452518062812	untreated
T4_vs_B2	-3.76524543915635	6.24738996190756e-11	0	0.582432283203661	untreated
T5_vs_B2	-4.11789192273518	6.24738996190756e-11	0	1.31187338938801	untreated
T6_vs_B2	-4.22662228800022	6.24738996190756e-11	0	1.6850868442484	untreated
T7_vs_B2	0.688087678130696	2.49901845866264e-06	4	0.820319755066855	untreated
T8_vs_B2	0.690051420068071	3.74849645104415e-06	6	1.22491814641083	untreated
T9_vs_B2	-2.4353115570844	6.24738996190756e-11	0	0.0272465523855744	untreated
Treg1_vs_B2	-1.66400084572947	6.24738996190756e-11	0	0.00461318472914519	untreated
Treg2_vs_B2	-3.22398164686778	6.24738996190756e-11	0	0.167487209502459	untreated
CD4_1_vs_CD4_1	0.807734598129027	0.000419824667914087	672	104.624823788169	untreated
CD4_2_vs_CD4_1	0.749897951624544	4.37323544723491e-06	7	1.24510590429549	untreated
CD4_3_vs_CD4_1	1.07112065511642	6.24745243580718e-06	10	0.848953079058151	untreated
CD4_4_vs_CD4_1	-3.28799914283123	6.24738996190756e-11	0	0.194088204686228	untreated
CD45_1_vs_CD4_1	0.496925012761114	0.000266138874851162	426	135.67026968432	untreated
CD45_2_vs_CD4_1	0.231723418107624	6.87219143199793e-06	11	6.45168589312905	untreated
CD8_1_vs_CD4_1	0.803225473050444	2.99875342910559e-05	48	7.55121210195105	untreated
CD8_2_vs_CD4_1	0.564504050006629	7.68429590053626e-05	123	33.5275187853707	untreated
CD8_3_vs_CD4_1	-0.179214400850293	4.99797444342567e-06	8	12.0867577133418	untreated
CD8_4_vs_CD4_1	-2.81112023389386	6.24738996190756e-11	0	0.0647321801189343	untreated
CD8_5_vs_CD4_1	0.178523442144704	1.24954046628113e-06	2	1.32595341965005	untreated
CD8_6_vs_CD4_1	0.455415447433027	4.37317922072525e-05	70	24.5291903264083	untreated
DC1_vs_CD4_1	0.0409683396277886	5.62271343961642e-06	9	8.18990747325206	untreated
DC2_vs_CD4_1	0.416551389282137	3.1237574548534e-06	5	1.91614028173832	untreated
DC3_vs_CD4_1	0.431676378878386	5.62271343961642e-06	9	3.3309718004431	untreated
DC4_vs_CD4_1	0.829072674233182	3.74849645104415e-06	6	0.88937683673543	untreated
E1_vs_CD4_1	0.239977925859881	0.000177425937392074	284	163.433306457075	untreated
E2_vs_CD4_1	0.524854139080944	0.00035547655130644	569	169.925361940046	untreated
E3_vs_CD4_1	0.50123753959679	6.24801470090375e-07	1	0.315359477718065	untreated
M1_vs_CD4_1	-0.297861897384843	0.0010339431011696	1655	3285.9422139839	untreated
M10_vs_CD4_1	0.149053035570446	2.31154053329576e-05	37	26.2512424034604	untreated
M11_vs_CD4_1	-0.456143122389971	3.06122732872467e-05	49	140.068374519608	untreated
M12_vs_CD4_1	0.69435683645061	1.24954046628113e-06	2	0.40429174460808	untreated
M13_vs_CD4_1	0.0223047882403382	1.24954046628113e-06	2	1.89997077866741	untreated
M2_vs_CD4_1	-0.207446886777571	0.000138067380632057	221	356.319308589981	untreated
M3_vs_CD4_1	0.302207067948585	3.87338802377265e-05	62	30.9161440394184	untreated
M4_vs_CD4_1	-0.103541435819861	6.24801470090375e-07	1	1.26936015890186	untreated
M5_vs_CD4_1	-0.220463869209637	1.24954046628113e-06	2	3.32288704890764	untreated
M6_vs_CD4_1	-0.839117877875752	3.74849645104415e-06	6	41.426321035511	untreated
M7_vs_CD4_1	0.290463352457761	0.0010814232648801	1731	886.816450091987	untreated
M8_vs_CD4_1	0.591134862090704	0.000129321034685386	207	53.0683632465674	untreated
M9_vs_CD4_1	-0.880754199311796	6.24801470090375e-07	1	7.59972061116378	untreated
Mo1_vs_CD4_1	0.296291735697584	0.00123573379693921	1978	999.849361309195	untreated
Mo2_vs_CD4_1	0.540837802188381	0.000234901925041624	376	108.230622972983	untreated
Mo3_vs_CD4_1	0.288183680887393	4.18575752186803e-05	67	34.5057737211608	untreated
Mo4_vs_CD4_1	0.238856471622881	1.37443203900962e-05	22	12.693114078501	untreated
