,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,Treg2,CD8_2,CD4_4,CD8_1,CD8_6,N1,Treg1,T3,CD45_1,T5,T12,T7,T11,T8,E2,DC1,M10,Mo1,N7,Mo5,M7,N6
CD4_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,6,0,0,1,1
Mo3,0,11,0,6,4,17,0,1,1,1,0,4,1,0,0,0,0,0,16,20,0,54,3,4,0,4,0,0,16,6,0,7,21,0,187,0,0,0,1,5,51,0,0,3,3,40,9,4,1,4,3,65,1,0,42,13,63,16,18,31,31,0,1,303,152,2,162,175
M3,0,127,4,0,0,10,1,129,0,0,4,0,0,1,0,3,9,1,90,63,7,3,1174,122,0,40,0,0,29,0,0,1,118,5,117,0,22,0,0,4,118,2,2,30,19,101,25,23,6,10,10,68,1,0,80,34,939,148,25,553,146,49,153,271,22,32,1583,184
Mo4,0,75,0,0,1,13,0,31,1,0,1,1,0,1,0,0,2,0,31,22,0,4,122,52,0,7,0,0,9,0,0,11,57,2,93,0,5,1,0,8,71,2,0,7,1,43,12,6,4,5,5,30,2,1,37,21,207,40,19,111,63,8,45,188,22,14,304,94
M9,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,5,1,1,0,0,5,16,0,2,14
M8,0,27,1,1,3,8,1,8,0,1,0,1,0,2,0,0,1,0,16,24,0,4,40,7,0,38,0,1,5,3,0,6,46,0,128,0,3,1,0,4,68,2,1,10,7,46,12,2,6,4,5,17,1,0,40,10,92,28,21,98,28,4,10,286,30,11,442,68
NK2,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,3,0,0,1,7,0,1,4,1
N4,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,4,5,2,1,2,0,0,19,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,14,0,0,0,0,7,0,11,9,0,0,0,16,38,1,30,43
N5,2,7,0,0,0,27,0,0,1,0,0,0,0,0,0,4,0,0,15,6,0,16,29,9,0,5,0,5,52,1,0,5,15,1,71,0,2,1,0,2,27,0,0,2,2,14,4,2,0,3,0,85,2,0,13,4,50,14,11,81,21,3,4,71,121,2,277,316
N2,0,7,0,1,8,43,2,1,0,1,1,0,0,6,0,0,0,0,11,8,0,6,0,0,1,3,0,2,1,50,0,83,6,0,492,0,0,0,0,0,24,1,0,4,0,9,3,1,0,1,0,73,0,1,12,19,70,1,114,14,11,0,1,170,227,5,47,94
