,E3,E1,T2,T9,T4,T10,S,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,N1,CD8_1,CD4_1,Treg2,CD8_2,CD8_6,B1,Treg1,CD4_4,CD45_1,T3,T7,T5,T11,T8,DC1,E2,Mo1,N7,N6,M10,L,T12
N2,0,7,0,0,16,35,0,0,0,1,0,0,8,0,0,0,0,7,17,0,4,2,0,1,0,0,0,1,24,0,10,2,0,385,43,0,0,0,0,0,0,3,3,0,4,37,0,2,1,0,2,0,0,0,5,1,1,21,68,10,0,4,54,102,36,0,0,88
N3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T6,2,304,1,4,179,34,0,3,0,1,2,1,26,0,0,0,1,49,353,0,5,7,1,2,1,0,3,2,10,0,424,9,1,3887,255,0,2,0,0,0,2,27,14,1,29,18,0,21,3,10,7,1,12,4,25,17,36,340,676,74,3,47,651,258,97,4,1,818
Mo2,8,289,2,2,10,36,0,2,2,8,9,0,1,0,2,3,2,83,81,3,16,106,97,0,35,2,0,17,2,0,9,220,0,368,695,0,8,40,0,3,3,86,14,2,35,53,3,93,43,25,12,6,25,12,65,3,43,69,49,198,20,241,505,69,344,54,12,510
Mo7,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,5,0,1,0,0,0,0,0,1,0,2,6,14,0,1,0,0,0,0,2,1,0,0,1,0,6,0,0,1,0,0,0,0,0,3,0,1,3,0,7,13,1,7,1,0,5
M1,29,3172,28,127,5402,1356,20,50,2,51,163,19,676,1,5,3,16,2799,11027,0,158,124,63,93,145,6,34,56,385,1,3887,368,6,111912,11112,18,44,9,0,0,36,700,274,11,735,673,24,543,259,244,248,51,368,96,702,361,1045,11488,14789,2722,122,1350,14430,6178,2505,88,56,22094
M7,43,1643,48,40,480,359,5,31,3,29,52,4,115,2,49,10,60,1378,1659,5,145,1612,403,2,718,12,16,476,43,0,255,695,14,11112,21662,3,136,291,5,14,59,784,114,6,322,540,43,714,406,198,170,73,200,86,631,25,1090,1703,1662,5030,146,2136,4500,916,2468,416,449,8138
M4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,8,2,1,0,0,6
Mo5,0,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,9,0,0,10,11,0,9,0,0,3,0,0,2,8,1,44,136,0,6,5,0,0,0,10,1,0,1,6,0,3,5,4,0,0,3,2,5,0,8,6,16,25,0,28,99,7,8,3,0,49
Mo6,0,102,1,0,0,1,0,0,0,2,2,0,0,0,1,0,0,7,8,0,1,30,7,0,8,0,0,1,0,0,0,40,0,9,291,0,5,72,0,1,0,9,1,0,3,4,1,7,3,0,0,1,3,0,5,0,17,7,5,74,2,36,40,5,20,5,0,197
B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,3,1,0,1,0,1,3,0,1,0,2,3
CD4_2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,14,0,0,1,0,0,0,3,0,0,0,1,0,4,0,0,2,0,1,0,0,0,1,2,0,6,0,2,5,0,0,1,0,8
NKT,0,11,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,12,0,3,7,2,0,10,0,0,2,0,0,2,3,0,36,59,0,0,0,0,0,4,18,0,0,4,5,1,16,5,6,7,4,3,1,17,0,10,6,6,22,4,26,65,6,22,5,3,23
NK1,8,175,0,3,12,49,1,8,1,8,2,2,3,0,1,1,2,123,151,2,29,65,54,0,57,0,1,21,3,0,27,86,2,700,784,0,10,9,1,3,18,280,18,2,50,69,11,131,74,49,22,22,37,24,148,2,67,117,80,212,19,241,805,104,407,58,5,434
CD8_5,1,44,1,0,15,4,0,0,0,0,2,0,0,0,0,0,3,36,88,1,1,19,12,0,10,0,0,0,3,0,14,14,1,274,114,0,1,1,0,0,0,18,4,3,10,8,1,10,7,8,5,1,4,3,12,3,13,75,35,27,3,30,99,7,20,17,2,150
CD8_4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,11,6,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2,1,0,0,2,8,0,5,0,0,1
CD45_2,5,97,4,0,39,10,0,2,0,3,3,0,1,0,2,3,5,60,231,0,3,47,27,2,15,0,0,3,4,0,29,35,0,735,322,0,1,3,1,0,4,50,10,1,66,17,2,49,21,15,13,3,15,11,26,5,52,189,93,66,14,111,314,40,79,21,24,339
N1,4,69,1,3,27,267,1,0,1,3,1,0,6,0,0,0,0,55,62,2,33,95,58,3,18,0,3,49,37,0,18,53,1,673,540,0,6,4,0,1,5,69,8,0,17,492,5,50,33,13,6,6,6,2,44,2,27,82,165,152,9,188,304,524,1079,34,3,354
CD8_1,2,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,6,0,2,8,3,0,4,0,0,0,0,0,0,3,0,24,43,0,0,1,0,0,1,11,1,0,2,5,0,10,5,0,0,1,1,3,7,0,3,2,2,5,1,19,39,7,21,2,0,19
CD4_1,8,139,1,1,19,35,1,4,0,2,2,0,0,0,0,0,5,78,137,3,28,84,46,1,68,0,0,21,2,0,21,93,6,543,714,0,3,7,1,4,16,131,10,0,49,50,10,190,69,37,27,11,41,23,102,1,65,108,55,182,18,267,628,69,284,49,2,419
Treg2,1,69,2,1,5,22,2,2,0,5,2,0,0,0,1,2,1,47,72,0,7,36,24,0,30,0,0,10,1,0,3,43,0,259,406,0,5,3,1,0,5,74,7,1,21,33,5,69,60,18,9,13,25,7,55,1,40,64,30,99,20,88,258,31,182,27,8,215
CD8_2,0,40,1,0,12,9,0,3,0,3,0,0,1,0,0,1,1,61,86,1,1,28,20,2,11,0,0,2,0,0,10,25,0,244,198,0,4,0,0,0,6,49,8,0,15,13,0,37,18,28,7,8,16,8,32,2,21,77,28,57,5,79,142,26,67,11,0,163
CD8_6,0,20,0,0,10,7,0,1,0,0,2,0,0,0,0,0,0,31,56,0,7,8,4,0,16,0,0,2,2,0,7,12,1,248,170,0,0,0,0,2,7,22,5,0,13,6,0,27,9,7,2,0,8,4,34,0,18,36,31,33,3,33,146,28,42,3,0,84
B1,1,10,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,16,11,0,3,9,6,0,6,0,0,3,0,0,1,6,0,51,73,0,0,1,0,0,4,22,1,0,3,6,1,11,13,8,0,32,5,0,9,0,22,5,5,21,2,20,50,6,26,6,3,53
Treg1,1,28,1,1,13,8,1,1,0,3,0,1,1,0,0,0,0,54,97,1,4,22,9,1,13,3,0,5,0,0,12,25,0,368,200,0,3,3,0,1,3,37,4,0,15,6,1,41,25,16,8,5,34,11,20,0,27,60,36,36,4,59,190,26,64,10,2,139
CD4_4,1,28,0,0,6,4,0,2,0,0,0,0,0,0,0,0,0,13,25,1,2,5,6,0,5,0,0,3,0,0,4,12,0,96,86,0,2,0,1,0,1,24,3,1,11,2,3,23,7,8,4,0,11,12,21,0,18,24,12,13,3,55,101,13,41,10,3,73
CD45_1,5,127,1,0,16,31,0,3,1,5,5,2,3,0,1,0,0,79,131,2,17,51,34,1,73,0,0,23,5,0,25,65,0,702,631,1,5,5,0,0,17,148,12,1,26,44,7,102,55,32,34,9,20,21,132,2,65,78,74,159,10,219,597,97,255,38,5,309
