,E3,E1,T2,T9,T3,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD4_1,CD8_2,CD4_4,B1,CD8_1,Treg1,CD8_6,Treg2,T4,N1,CD45_1,T12,T5,T8,T11,T7,E2,N7,N6,Mo1,DC1,M10,M7,Mo5
CD4_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2,4,0,5,0,0,0,4,4,8,0,0,19,0
NKT,0,18,0,0,1,10,1,0,0,0,0,1,0,0,0,0,1,0,8,6,0,8,3,1,0,7,0,0,1,1,0,6,18,1,77,0,1,0,0,12,72,2,0,3,31,11,1,3,0,0,4,10,0,8,22,45,9,23,16,23,16,22,44,183,3,1,89,0
NK1,2,172,2,0,11,57,8,3,2,2,0,7,0,10,3,0,3,0,55,42,4,57,46,26,0,72,0,4,26,8,0,47,177,7,734,1,3,0,0,72,462,7,1,14,219,63,5,26,20,1,30,62,7,146,224,443,45,192,102,253,228,231,385,1839,26,14,967,13
CD8_5,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,6,5,1,0,3,1,0,1,0,0,0,0,0,0,5,0,34,0,0,0,0,2,7,6,0,2,9,9,2,12,1,0,4,3,0,0,7,27,10,5,5,5,5,3,1,55,4,3,11,0
CD8_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0
CD45_2,0,7,0,0,6,3,1,6,1,0,0,0,0,2,2,0,0,0,13,66,0,3,5,4,0,4,0,0,0,0,0,10,21,1,107,0,2,1,0,3,14,2,1,42,41,27,8,43,7,0,3,5,6,3,44,84,40,22,9,40,19,23,14,456,3,2,61,8
CD4_1,1,130,0,0,12,17,2,7,0,0,1,4,0,7,0,0,5,0,59,91,91,26,55,26,0,59,1,0,11,3,0,43,141,5,513,1,8,1,2,31,219,9,2,41,706,214,23,244,78,8,34,91,2,46,270,406,72,145,73,264,246,96,195,1361,25,19,681,17
CD8_2,0,45,0,0,5,13,3,8,3,0,1,0,3,1,1,0,1,2,36,39,44,7,18,6,0,23,0,0,2,2,0,14,65,2,231,0,2,1,0,11,63,9,0,27,214,100,8,96,26,2,14,25,2,19,113,172,40,43,32,106,62,28,50,490,10,6,268,12
CD4_4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,0,0,0,0,0,0,0,0,1,11,0,14,0,0,0,0,1,5,2,0,8,23,8,10,13,3,1,2,2,2,1,20,11,14,2,0,12,2,1,2,69,0,0,15,2
B1,0,20,0,0,2,3,3,0,1,0,0,0,1,0,2,0,1,0,26,63,38,2,15,1,0,20,0,0,3,1,0,5,34,0,84,0,0,0,1,3,26,12,1,43,244,96,13,412,27,1,12,27,3,6,143,146,65,34,19,114,67,13,31,344,11,15,138,2
