,E3,E1,T2,T9,T4,S,T10,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_6,CD8_2,Treg2,CD4_1,CD8_1,N1,B1,Treg1,CD4_4,CD45_1,T3,T8,T5,T11,L,T12,T7,E2,DC1,M10,Mo1,N7,N6
Mo6,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,11,39,0,2,0,0,0,1,5,0,0,2,0,3,1,2,0,1,0,0,0,5,0,3,1,0,1,11,3,0,0,1,25,7,11
B2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,2,0,11,15,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,4,1,0,4,0,2,0,0,0,1,1,1,0,0,16,0,3
CD4_2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,7,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,5,2,2
NKT,0,92,0,1,4,0,14,2,0,1,1,0,9,0,0,0,0,25,71,1,29,3,8,0,18,1,0,5,7,1,28,44,2,530,324,2,6,1,1,1,38,118,22,2,37,33,27,32,89,12,40,18,22,19,48,0,42,11,26,5,92,58,12,1,2,890,136,136
NK1,0,449,1,12,5,3,38,5,2,5,35,1,31,0,1,0,3,135,258,4,118,23,28,5,109,9,2,31,20,1,165,365,2,2792,1920,7,44,5,1,1,118,738,134,7,148,117,182,135,429,44,219,94,59,87,331,2,254,83,136,44,565,297,101,7,22,5004,626,768
CD8_5,0,88,2,2,2,2,2,5,1,0,4,0,9,0,1,0,4,33,173,0,11,5,8,0,13,3,0,2,0,0,63,62,0,844,438,1,7,0,0,0,22,134,72,11,73,28,74,32,120,24,17,16,36,45,70,3,45,35,33,77,200,124,20,3,3,1660,55,67
CD8_4,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,16,0,2,1,0,0,1,0,0,0,0,0,8,10,0,87,25,0,1,0,0,0,2,7,11,8,10,2,15,5,25,5,2,1,9,12,7,0,4,5,7,0,11,4,1,0,0,212,4,2
CD45_2,1,127,0,0,3,0,4,2,0,0,4,1,17,0,1,0,0,50,234,1,20,5,10,1,24,3,1,2,7,0,79,78,3,1163,591,1,21,2,1,1,37,148,73,10,166,38,84,36,143,31,21,43,49,57,103,6,54,38,28,157,196,161,29,3,2,2359,91,81
CD8_6,0,86,0,0,1,1,18,1,0,2,7,1,2,0,1,0,3,27,59,0,37,1,2,0,36,0,1,3,8,0,32,63,2,725,454,2,11,0,0,1,33,117,28,2,38,50,30,30,101,10,43,33,18,12,66,2,64,13,28,51,131,86,25,1,0,1210,189,199
CD8_2,0,209,2,0,3,1,16,3,0,3,14,1,14,0,0,0,2,77,136,1,48,10,9,3,25,5,1,7,17,0,84,127,1,1151,734,0,15,3,1,1,27,182,74,15,84,30,140,44,164,21,83,44,25,56,118,4,112,43,69,66,280,137,48,7,9,2175,220,253
Treg2,1,136,0,1,0,0,10,1,1,0,3,0,8,0,0,1,2,35,113,0,49,2,7,1,42,0,0,3,6,0,39,78,0,790,634,1,19,1,0,0,32,135,32,5,36,30,44,90,153,14,57,55,28,32,93,2,73,15,31,2,166,106,37,3,0,1469,175,165
