,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,N4,N5,N2,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_2,CD4_1,CD8_1,Treg1,Treg2,N1,B1,CD8_6,CD4_4,T3,CD45_1,T12,T5,T8,T11,E2,DC1,M10,Mo1,N7,N6,T7
M9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,4,6,5,0
M8,0,37,0,0,1,16,4,8,0,0,0,1,0,3,5,0,0,10,6,0,12,11,4,0,56,0,7,0,6,52,0,106,448,0,10,0,0,0,15,93,1,0,2,6,21,0,0,10,23,5,3,0,0,42,73,1,135,11,20,2,3,268,39,72,28
N4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,16,29,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1,4,0,4,2,0,0,0,9,9,6,0
N5,0,10,0,1,1,14,1,2,0,0,1,1,0,2,2,0,0,5,3,0,20,3,9,0,7,0,44,2,1,23,0,56,261,8,7,1,0,0,3,41,1,0,0,2,8,1,0,6,30,0,5,0,0,13,46,0,68,10,7,2,2,136,78,96,9
N2,0,17,0,0,0,37,1,0,0,0,0,0,0,12,1,0,0,4,2,0,4,1,2,0,0,0,2,24,36,10,1,420,75,10,4,0,0,0,0,14,1,0,1,1,0,0,1,1,63,0,0,1,1,4,43,2,14,185,8,0,1,90,169,144,9
T6,0,93,0,0,35,64,13,35,0,0,0,4,2,55,3,0,0,55,45,0,3,1,7,1,6,0,1,36,672,49,0,3560,230,1,2,1,0,1,9,97,5,1,6,15,20,2,3,10,46,8,3,1,2,26,564,39,56,538,16,1,6,770,359,139,120
Mo2,2,390,3,2,3,38,18,6,3,3,10,1,0,21,9,5,0,52,48,2,42,61,128,0,52,1,23,10,49,918,5,759,1356,0,116,8,1,1,22,499,13,0,24,59,126,15,5,47,136,19,15,9,1,157,848,47,401,125,195,31,54,2369,194,414,143
Mo7,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,4,0,0,0,0,1,0,5,0,8,36,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,17,1,15,0,5,0,1,19,1,1,3
M1,0,1622,7,17,173,511,78,182,6,2,31,110,9,689,39,3,3,561,664,7,191,75,118,10,106,16,56,420,3560,759,8,64682,6725,741,149,2,3,1,93,1470,82,5,117,197,359,30,82,176,714,69,75,14,30,503,3848,400,1758,11933,392,53,76,11994,3192,2948,849
M7,2,811,14,10,25,197,72,194,10,3,29,35,8,240,44,18,4,393,193,1,210,387,328,0,448,29,261,75,230,1356,36,6725,16818,187,923,36,10,0,104,1112,33,0,99,150,333,25,21,121,562,58,67,15,3,513,4513,176,4545,723,448,87,159,7637,884,1415,817
M4,0,13,0,0,0,1,1,0,0,0,0,0,0,119,0,0,0,2,2,0,0,1,0,0,0,0,8,10,1,0,0,741,187,516,2,0,0,0,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,27,133,18,0,0,46,26,75,2
Mo5,0,81,0,0,3,8,7,1,0,0,2,1,0,7,2,2,0,12,8,0,2,11,12,0,10,0,7,4,2,116,5,149,923,2,602,8,1,0,1,40,3,0,5,2,19,1,3,9,15,1,5,2,1,37,542,16,297,61,28,1,7,1051,32,46,29
