,E3,E1,T2,T9,T4,T10,S,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,CD8_5,CD8_4,CD45_2,NKT,NK1,L,CD4_1,CD8_2,CD8_6,Treg2,CD8_1,B1,Treg1,CD4_4,CD45_1,N1,T3,T12,T5,T8,T11,DC1,M10,E2,Mo1,N7,N6,T7
CD4_4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,7,0,0,1
CD45_1,0,362,0,5,33,182,4,4,3,4,6,5,18,11,13,5,1,583,74,2,79,62,25,8,195,6,1,61,30,3,142,331,4,2640,1937,5,18,13,3,9,3,0,6,73,502,101,426,93,94,84,39,54,4,0,552,354,0,1185,90,467,445,18,59,520,2325,581,1601,319
N1,0,225,0,10,31,1311,2,0,0,1,24,1,31,7,5,0,0,646,16,0,187,43,34,28,158,6,14,147,158,118,293,266,0,2852,1923,0,13,9,1,3,0,0,0,47,259,13,233,51,41,51,6,28,0,0,354,3860,3,1828,50,544,950,20,69,492,1552,4589,12995,192
T3,0,6,0,0,33,2,0,0,0,0,1,0,6,0,0,0,0,22,49,0,1,1,1,0,0,0,0,0,0,0,74,0,0,490,16,0,1,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,1,0,0,3,12,177,67,3,60,0,0,1,50,30,5,15
T12,6,1676,21,39,2393,2964,46,97,6,73,135,26,701,4,129,35,11,10922,2524,5,133,524,184,66,337,13,15,118,169,50,5454,829,8,39976,9094,3,53,69,4,6,13,0,87,105,845,691,743,329,208,282,50,122,5,3,1185,1828,177,77546,9619,2836,13748,210,562,2521,7323,4756,9180,3723
T5,5,255,1,8,892,140,4,34,0,11,30,9,100,0,6,0,1,620,1096,0,4,8,9,4,9,2,0,0,17,1,786,43,0,8124,688,2,3,2,0,1,5,0,34,9,73,3,59,65,36,46,7,12,0,0,90,50,67,9619,3152,197,1704,43,19,195,1022,251,214,546
T8,0,269,3,10,88,253,0,5,3,6,20,6,177,1,7,5,1,600,138,3,100,181,64,6,351,8,10,168,39,5,322,451,6,4142,6155,5,21,55,6,14,1,0,10,61,522,316,386,115,100,96,34,80,2,0,467,544,3,2836,197,1936,1127,32,111,498,2167,747,2028,609
T11,0,620,7,35,1413,1035,13,12,1,19,100,10,471,6,10,2,1,2306,960,2,64,9,12,48,47,3,14,27,144,11,3561,166,0,26627,2617,2,17,1,0,1,9,1,25,46,304,32,244,116,84,119,26,17,1,1,445,950,60,13748,1704,1127,10556,31,87,217,3536,3229,4366,393
DC1,1,16,0,0,2,13,1,2,0,3,1,1,0,0,0,0,0,62,15,0,1,16,12,0,6,1,0,2,1,0,11,17,0,122,88,0,0,1,0,0,0,0,2,3,15,66,9,3,3,5,0,1,1,0,18,20,0,210,43,32,31,16,6,26,73,18,59,24
M10,0,41,0,0,3,67,1,0,0,5,1,0,4,1,5,5,0,339,9,0,4,70,20,3,16,2,0,8,5,1,18,52,1,210,410,0,3,3,0,0,0,0,1,3,39,58,37,9,5,10,1,17,0,0,59,69,0,562,19,111,87,6,80,113,145,120,394,53
E2,6,577,1,5,25,179,1,3,10,12,19,4,11,5,5,2,2,526,60,10,102,171,50,6,198,1,0,101,18,1,105,443,3,1653,2392,2,15,39,2,4,3,0,10,85,497,286,569,116,72,84,30,93,2,0,520,492,1,2521,195,498,217,26,113,3224,1975,611,1710,585
Mo1,1,3710,1,69,463,737,45,20,16,39,151,26,313,51,4,7,2,1478,1067,16,676,195,132,33,693,16,15,224,186,8,2483,2056,10,34995,9042,28,185,43,8,12,27,6,82,478,2815,399,1978,576,431,612,183,184,27,7,2325,1552,50,7323,1022,2167,3536,73,145,1975,26456,3666,5188,1531
N7,0,438,0,38,180,3349,5,5,7,8,69,3,144,3,11,0,0,1951,157,2,557,26,32,173,112,2,42,171,305,75,1451,292,0,12044,1951,4,16,5,0,1,2,0,6,58,371,43,283,101,72,44,20,23,0,0,581,4589,30,4756,251,747,3229,18,120,611,3666,17222,20363,265
N6,0,787,0,33,70,6449,11,2,10,14,66,17,106,10,60,2,0,4706,48,11,609,217,108,232,514,11,63,654,420,495,930,1084,7,9740,6137,12,47,34,3,3,1,0,6,150,1018,76,876,188,152,130,47,114,1,0,1601,12995,5,9180,214,2028,4366,59,394,1710,5188,20363,74124,681
T7,0,252,1,4,84,106,1,20,1,6,14,4,37,0,6,4,3,599,289,3,32,133,48,2,172,5,1,50,14,0,324,297,1,2941,2634,4,20,18,4,8,2,0,9,34,260,253,240,68,59,68,24,37,0,1,319,192,15,3723,546,609,393,24,53,585,1531,265,681,1148
