,E3,E1,T2,T9,T4,S,T10,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD4_1,CD8_1,CD8_6,Treg2,CD8_2,Treg1,B1,T3,CD4_4,CD45_1,N1,L,T5,T12,T8,T11,M7,E2,Mo1,DC1,M10,Mo5,N7,N6,T7
B2,0,6,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,4,12,9,0,3,3,0,35,0,0,0,0,0,1,25,1,20,0,1,34,0,2,18,2,1,13,26,2,3,13,33,5,608,0,1,51,1,2,4,43,21,2,166,1,54,1,3,2,0,15,15
CD4_2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,6,0,0,2,1,0,10,0,0,0,0,0,0,3,0,10,0,0,0,0,0,2,0,0,3,7,1,2,2,0,3,16,0,0,23,0,10,6,12,10,1,31,4,32,0,1,0,1,2,3
NKT,1,21,0,0,1,2,3,0,0,1,0,2,0,0,0,0,1,14,39,6,4,9,7,0,25,1,0,5,0,0,2,29,1,95,0,1,2,0,18,88,8,3,21,59,19,10,16,54,32,136,1,5,76,3,0,25,43,32,10,159,29,250,2,3,4,16,26,19
NK1,2,243,4,3,37,18,49,5,2,11,11,4,8,4,4,0,11,178,407,37,34,73,97,0,229,5,0,25,6,0,34,385,5,1032,2,12,18,2,88,654,35,2,154,416,103,64,190,242,107,925,3,34,593,63,49,314,817,465,110,1908,281,1886,31,46,25,100,318,220
CD8_5,0,57,4,1,20,1,8,3,1,2,3,1,4,0,0,0,5,98,306,10,3,4,1,0,20,0,0,1,1,0,13,27,1,470,1,0,2,0,8,35,28,1,68,74,17,6,22,72,17,224,1,11,88,6,20,142,251,53,51,239,23,327,5,3,2,19,26,42
CD8_4,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,24,2,0,0,0,0,2,0,0,0,0,0,4,4,0,45,0,0,1,0,3,2,1,2,11,28,1,0,5,13,6,38,1,4,14,3,0,7,13,4,4,11,5,65,0,0,1,3,4,7
CD45_2,5,170,6,1,79,6,31,13,2,4,10,4,6,0,20,4,20,464,1172,20,13,34,36,0,72,0,0,8,3,0,62,120,1,1540,1,7,13,3,21,154,68,11,448,275,39,21,98,177,85,1009,9,42,393,19,104,825,1355,262,223,923,185,1434,17,19,11,57,85,222
CD4_1,3,277,10,2,30,31,42,23,11,8,8,7,7,4,7,5,20,307,684,345,33,78,96,2,253,4,0,21,2,0,74,403,6,1632,1,15,26,7,59,416,74,28,275,2162,358,87,331,639,168,2961,0,125,1164,44,40,418,1033,469,175,1846,347,3376,35,67,23,110,296,367
CD8_1,1,49,6,0,6,8,3,0,1,6,2,0,1,1,0,0,1,36,99,69,3,7,18,0,51,0,0,1,3,0,12,67,0,275,2,1,2,1,19,103,17,1,39,358,112,17,92,150,34,439,1,25,230,6,6,34,118,66,32,244,55,712,3,11,2,26,41,56
CD8_6,0,24,3,0,9,2,6,1,0,2,1,1,1,0,2,1,0,49,112,4,4,8,4,0,31,1,0,3,2,0,9,26,0,186,0,2,3,2,10,64,6,0,21,87,17,2,27,43,13,101,1,6,99,8,18,66,119,51,23,239,29,230,5,3,0,15,32,32
Treg2,4,128,17,1,26,7,10,7,4,14,5,1,3,1,2,0,12,166,359,51,17,49,38,0,118,1,0,8,0,0,22,158,2,733,0,8,13,2,16,190,22,5,98,331,92,27,204,132,109,660,2,29,353,23,32,276,565,333,103,1124,171,1015,28,21,11,46,139,143
